"contents href","inset-y-0 src","w-full src","absolute","line-clamp-2","mr-0 src","truncate","font-medium","truncate 2","truncate 3"
"https://shopee.vn/Dao-C%E1%BA%AFt-Washi-Tape-T%E1%BB%89a-Sticker-D%E1%BB%A5ng-C%E1%BB%A5-D%C3%A1n-Bullet-Journal-Ti%E1%BB%87n-L%E1%BB%A3i-K%C3%A8m-6-L%C6%B0%E1%BB%A1i-Dao-BEYOU-i.284175510.22645663774?extraParams=%7B%22display_model_id%22%3A138652208852%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-li2oj0jwqmmk24_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-33%","Dao Cắt Washi Tape Tỉa Sticker, Dụng Cụ Dán Bullet Journal Tiện Lợi Kèm 6 Lưỡi Dao - BEYOU","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3l2w2maml9a","Rẻ Vô Địch","14.439","Đã bán 100k+",""
"https://shopee.vn/B%C3%BAt-Gel-C%C3%B3-Th%E1%BB%83-Thu-V%C3%A0o-B%C3%BAt-bi-v%E1%BB%9F-Trong-Su%E1%BB%91t-ST-%C4%90%E1%BA%A7u-%C4%90en-Xanh-%C4%90%E1%BB%8F-Ng%C3%B2i-0.5-mm-C%C3%B3-Th%E1%BB%83-Thay-ng%C3%B2i-%C4%90%E1%BB%93-D%C3%B9ng-H%E1%BB%8Dc-T%E1%BA%ADp-BAM01-i.908334778.28467432899?extraParams=%7B%22display_model_id%22%3A247015902582%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m2j44yp7hi2a0a_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","","Bút Gel Có Thể Thu Vào Bút bi vở Trong Suốt ST Đầu Đen / Xanh / Đỏ Ngòi 0.5 mm Có Thể Thay ngòi Đồ Dùng Học Tập BAM01","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","","16.000","Đã bán 100k+",""
"https://shopee.vn/Combo-10-B%C3%BAt-ch%C3%AC-HB-g%E1%BB%97-cute-xinh-d%E1%BB%85-th%C6%B0%C6%A1ng-cho-h%E1%BB%8Dc-sinh-gi%C3%A1-r%E1%BA%BB-K%C3%A8m-T%E1%BA%A9y-i.1076210029.24125252698?extraParams=%7B%22display_model_id%22%3A245665667676%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-luurryvmohea60_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","","Combo 10 Bút chì HB gỗ cute xinh dễ thương cho học sinh giá rẻ Kèm Tẩy","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","","13.800","Đã bán 100k+","5% Giảm"
"https://shopee.vn/H%E1%BB%99p-carton-%C4%91%C3%B3ng-h%C3%A0ng-full-size-th%C3%B9ng-carton-h%E1%BB%99p-gi%E1%BA%A5y-g%C3%B3i-h%C3%A0ng-gi%C3%A1-r%E1%BA%BB-Hako-box-i.1476952961.28676960640?extraParams=%7B%22display_model_id%22%3A227402585406%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m6i33omk8l0ne4_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","","Hộp carton đóng hàng full size, thùng carton hộp giấy gói hàng giá rẻ Hako box","","","1.217","Đã bán 1000k+",""
"https://shopee.vn/-H%E1%BB%8EA-T%E1%BB%90C-G%C3%B4m-T%E1%BA%A9y-B%C3%BAt-Ch%C3%AC-Si%C3%AAu-S%E1%BA%A1ch-Chuy%C3%AAn-D%C3%B9ng-Cho-H%E1%BB%8Dc-Sinh-Deli-T%E1%BA%A9y-%C4%90en-Gi%C3%A1-R%E1%BA%BB-Ch%E1%BA%A5t-L%C6%B0%E1%BB%A3ng-%C3%8Dt-V%E1%BB%A5n-%C3%8Dt-B%C3%A1m-B%E1%BA%A9n-i.348955539.9951634937?extraParams=%7B%22display_model_id%22%3A128427956555%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lnfmxh4im7sdd8_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-44%","[HỎA TỐC] Gôm Tẩy Bút Chì Siêu Sạch Chuyên Dùng Cho Học Sinh Deli - Tẩy Đen Giá Rẻ Chất Lượng Ít Vụn Ít Bám Bẩn","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3kdam2qw17d","","5.000","Đã bán 100k+",""
"https://shopee.vn/Combo-20-b%C3%BAt-bi-n%C6%B0%E1%BB%9Bc-v%C4%83n-ph%C3%B2ng-m%E1%BB%B1c-gel-ng%C3%B2i-0.5-%C4%91%E1%BA%A7u-kim-m%E1%BB%B1c-%C4%91%E1%BB%81u-n%C3%A9t-ch%E1%BB%AF-%C4%91%E1%BA%B9p-i.408965944.20582011419?extraParams=%7B%22display_model_id%22%3A246397328651%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m5tu76634fo711_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-50%","Combo 20 bút bi nước văn phòng mực gel ngòi 0.5 đầu kim mực đều nét chữ đẹp","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3l2w2maml9a","","10.000","Đã bán 100k+",""
"https://shopee.vn/Th%E1%BA%BB-%C4%91eo-sinh-vi%C3%AAn-bao-th%E1%BA%BB-d%C3%A2y-%C4%91eo-th%E1%BA%BB-nh%C3%A2n-vi%C3%AAn-ki%E1%BB%83u-d%C3%A1ng-sang-tr%E1%BB%8Dng-nhi%E1%BB%81u-m%C3%A0u-s%E1%BA%AFc-d%C3%A2y-r%E1%BB%99ng-1-5-cm-th%E1%BA%BB-%C4%91%E1%BB%A9ng-7-x-11cm-i.798299868.20172470111?extraParams=%7B%22display_model_id%22%3A237993778429%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lp0xe6n2topn5d_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-34%","Thẻ đeo sinh viên, bao thẻ, dây đeo thẻ nhân viên kiểu dáng sang trọng nhiều màu sắc dây rộng 1,5 cm, thẻ đứng 7 x 11cm","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3l2w2maml9a","Rẻ Vô Địch","8.900","Đã bán 100k+",""
"https://shopee.vn/COMBO-15-B%C3%BAt-Gel-b%C3%BAt-m%E1%BB%B1c-n%C6%B0%E1%BB%9Bc-b%C3%BAt-bi-n%C6%B0%E1%BB%9Bc-v%C4%83n-ph%C3%B2ng-ng%C3%B2i-0.5-%C4%91%E1%BB%93-d%C3%B9ng-h%E1%BB%8Dc-t%E1%BA%ADp-1k-h%E1%BB%99p-b%C3%BAt-%C4%91%E1%BB%93ng-BG02-i.908334778.21866803571?extraParams=%7B%22display_model_id%22%3A79576734152%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m10p01caxo9n2d_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","","COMBO 15 Bút Gel , bút mực nước , bút bi nước văn phòng ngòi 0.5 đồ dùng học tập 1k hộp bút  đồng BG02","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","Rẻ Vô Địch","12.000","Đã bán 3000k+",""
"https://shopee.vn/Set-20-b%C3%BAt-gel-HAPPI-vi%E1%BA%BFt-gel-b%C3%BAt-n%C6%B0%E1%BB%9Bc-%C4%91en-xanh-%C4%91%E1%BB%8F-ng%C3%B2i-0-5mm-i.12754474.18669787617?extraParams=%7B%22display_model_id%22%3A117866647165%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/sg-11134201-22120-4pmk8cg4dplve2_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-28%","Set 20 bút gel HAPPI viết gel bút nước đen xanh đỏ ngòi 0,5mm","","","14.500","Đã bán 100k+",""
"https://shopee.vn/B%C3%BAt-Bi-M%E1%BB%B1c-Gel-Deli-Th%C3%A2n-M%E1%BB%9D-Trong-Su%E1%BB%91t-m%C3%A0u-%C4%91en-%C4%91%E1%BB%8F-xanh-ng%C3%B2i-0.5mm-vi%E1%BA%BFt-tr%C6%A1n-m%E1%BB%B1c-%C4%91%E1%BB%81u-i.1021396369.26173173856?extraParams=%7B%22display_model_id%22%3A223693262449%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m4u3r3e1eqyr23_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-25%","Bút Bi Mực Gel Deli Thân Mờ Trong Suốt màu đen đỏ xanh ngòi 0.5mm viết trơn mực đều","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3kdam2qw17d","Rẻ Vô Địch","9.000","Đã bán 100k+",""
