"contents href","inset-y-0 src","w-full src","line-clamp-2","mr-0 src","font-medium","truncate","absolute","truncate 2"
"https://shopee.vn/L%C3%B3t-m%C5%A9-n%C3%B3n-b%E1%BA%A3o-hi%E1%BB%83m-Silicon-Massage-ch%E1%BB%91ng-n%C3%B3ng-ch%E1%BB%91ng-x%E1%BA%B9p-t%C3%B3c-th%C3%B4ng-tho%C3%A1ng-l%C3%A0m-m%C3%A1t-ch%C4%83m-s%C3%B3c-b%E1%BA%A3o-v%E1%BB%87-da-%C4%91%E1%BA%A7u-i.116745109.18881589810?extraParams=%7B%22display_model_id%22%3A251450892951%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m6tctg7qi53s88_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","Lót mũ nón bảo hiểm Silicon Massage chống nóng, chống xẹp tóc, thông thoáng làm mát, chăm sóc bảo vệ da đầu","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","16.900","Đã bán 100k+","",""
"https://shopee.vn/%E2%9A%A1KH%C4%82N-D%C3%80Y%E2%9A%A1-Kh%C4%83n-lau-xe-microfiber-3m-cao-c%E1%BA%A5p-kh%C3%B4ng-r%E1%BB%A5ng-l%C3%B4ng-kh%C4%83n-lau-%C3%B4-t%C3%B4-xe-h%C6%A1i-xe-m%C3%A1y-chuy%C3%AAn-d%E1%BB%A5ng-si%C3%AAu-th%E1%BA%A5m-88419-i.184221549.22478633201?extraParams=%7B%22display_model_id%22%3A285572505689%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134211-820l4-mekyol3xuyo22a_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","⚡KHĂN DÀY⚡ Khăn lau xe microfiber 3m cao cấp không rụng lông, khăn lau ô tô, xe hơi, xe máy chuyên dụng siêu thấm 88419","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","9.999","Đã bán 400k+","-33%",""
"https://shopee.vn/L%C3%B3t-m%C5%A9-n%C3%B3n-b%E1%BA%A3o-hi%E1%BB%83m-Silicon-Massage-ch%E1%BB%91ng-x%E1%BA%B9p-t%C3%B3c-th%C3%B4ng-tho%C3%A1ng-ch%C4%83m-s%C3%B3c-b%E1%BA%A3o-v%E1%BB%87-da-%C4%91%E1%BA%A7u-i.37778998.24439512144?extraParams=%7B%22display_model_id%22%3A257336684710%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m3uxssgif1rp08_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","Lót mũ nón bảo hiểm Silicon Massage chống xẹp tóc, thông thoáng, chăm sóc bảo vệ da đầu","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","15.000","Đã bán 40k+","-21%",""
"https://shopee.vn/B%E1%BB%8Dc-Ch%C3%A2n-Ch%E1%BB%91ng-Xe-M%C3%A1y-B%E1%BA%A3o-V%E1%BB%87-Ch%C3%A2n-(-1-c%C3%A1i-)-i.14928325.436833189?extraParams=%7B%22display_model_id%22%3A72130093385%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/1c4612baa6195482f58efddf6cfdec52_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","Bọc Chân Chống Xe Máy , Bảo Vệ Chân ( 1 cái )","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mfjl4hy7rsi3b3","4.700","Đã bán 40k+","-48%","Rẻ Vô Địch"
"https://shopee.vn/Kh%C4%83n-lau-%C3%B4-t%C3%B4-xe-h%C6%A1i-lau-k%C3%ADnh-lau-tay-m%C3%A0u-v%C3%A0ng-2-l%E1%BB%9Bp-Microfiber-m%E1%BB%81m-m%E1%BB%8Bn-si%C3%AAu-th%E1%BA%A5m-(30x30cm)-i.885425410.23731809981?extraParams=%7B%22display_model_id%22%3A225817485630%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134201-23030-vubzikyjbhovb3_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","Khăn lau ô tô, xe hơi, lau kính lau tay màu vàng, 2 lớp Microfiber mềm mịn, siêu thấm (30x30cm)","","7.990","Đã bán 200k+","-20%",""
"https://shopee.vn/B%E1%BB%8Dc-Ch%C3%A2n-Ch%E1%BB%91ng-Xe-M%C3%A1y-Cao-C%E1%BA%A5p-Ch%E1%BB%91ng-Tr%E1%BA%A7y-X%C6%B0%E1%BB%9Bc-B%E1%BA%A3o-V%E1%BB%87-N%E1%BB%81n-Nh%C3%A0-Cao-Su-D%E1%BA%BBo-Dai-Ph%C3%B9-H%E1%BB%A3p-M%E1%BB%8Di-Lo%E1%BA%A1i-Xe-i.1500249716.25593134083?extraParams=%7B%22display_model_id%22%3A305239320761%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/sg-11134201-7rd6a-m801482uy912ad_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","Bọc Chân Chống Xe Máy Cao Cấp Chống Trầy Xước, Bảo Vệ Nền Nhà, Cao Su Dẻo Dai Phù Hợp Mọi Loại Xe","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","9.000","Đã bán 60k+","-31%",""
"https://shopee.vn/%E2%9A%A1Si%C3%AAu-Th%E1%BA%A5m%E2%9A%A1-Kh%C4%83n-lau-%C3%B4-t%C3%B4-xe-h%C6%A1i-lau-b%E1%BA%BFp-lau-k%C3%ADnh-lau-tay-m%C3%A0u-v%C3%A0ng-x%C3%A1m-2-l%E1%BB%9Bp-cao-c%E1%BA%A5p-si%C3%AAu-s%E1%BA%A1ch-si%C3%AAu-th%E1%BA%A5m-h%C3%BAt-88419-i.265418187.15899482964?extraParams=%7B%22display_model_id%22%3A260606211520%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ltxchouejzm93e_tn.webp","","⚡Siêu Thấm⚡ Khăn lau ô tô xe hơi ,lau bếp ,lau kính, lau tay màu vàng xám 2 lớp cao cấp siêu sạch siêu thấm hút 88419","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","9.790","Đã bán 100k+","-35%",""
"https://shopee.vn/Kh%C4%83n-Lau-Xe-%C3%94-T%C3%B4-3M-S%E1%BB%A3i-Microfiber-M%E1%BB%81m-M%E1%BB%8Bn-Chuy%C3%AAn-D%E1%BB%A5ng-Kh%C4%83n-Lau-%C4%90a-N%C4%83ng-R%E1%BB%ADa-Xe-%C3%94-T%C3%B4-Xe-M%C3%A1y-2-M%E1%BA%B7t-Si%C3%AAu-Th%E1%BA%A5m-H%C3%BAt-88419-i.231686642.23979352115?extraParams=%7B%22display_model_id%22%3A129395554465%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-llbk1vx8q7605f_tn.webp","","Khăn Lau Xe Ô Tô 3M Sợi Microfiber Mềm Mịn Chuyên Dụng, Khăn Lau Đa Năng Rửa Xe Ô Tô, Xe Máy 2 Mặt Siêu Thấm Hút 88419","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","9.995","Đã bán 100k+","-38%",""
"https://shopee.vn/Mi%E1%BA%BFng-L%C3%B3t-N%C3%B3n-B%E1%BA%A3o-Hi%E1%BB%83m-Xe-M%C3%A1y-Xe-%C4%90%E1%BA%A1p-Gi%C3%BAp-Tho%C3%A1ng-Kh%C3%AD-B%E1%BA%A3o-v%E1%BB%87-Da-%C4%90%E1%BA%A7u-Cho-Ng%C6%B0%E1%BB%9Di-L%E1%BB%9Bn-v%C3%A0-Tr%E1%BA%BB-Em-i.836064116.27859012380?extraParams=%7B%22display_model_id%22%3A246873968057%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m2w2m6o2x1ps84_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","Miếng Lót Nón Bảo Hiểm Xe Máy, Xe Đạp, Giúp Thoáng Khí, Bảo vệ Da Đầu Cho Người Lớn và Trẻ Em","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","15.000","Đã bán 30k+","",""
"https://shopee.vn/Kh%C4%83n-lau-%C3%B4-t%C3%B4-xe-h%C6%A1i-%C4%91a-n%C4%83ng-Microfiber-m%C3%A0u-v%C3%A0ng-2-l%E1%BB%9Bp-cao-c%E1%BA%A5p-kh%C4%83n-lau-b%E1%BA%BFp-lau-k%C3%ADnh-si%C3%AAu-s%E1%BA%A1ch-si%C3%AAu-th%E1%BA%A5m-h%C3%BAt-i.816481357.20022889645?extraParams=%7B%22display_model_id%22%3A201194553054%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/52976d3a0bc1d72d75362cd0b8db21ee_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","Khăn lau ô tô xe hơi đa năng Microfiber màu vàng 2 lớp cao cấp khăn lau bếp lau kính siêu sạch siêu thấm hút","","10.000","Đã bán 30k+","-50%",""
