"contents href","inset-y-0 src","w-full src","absolute","line-clamp-2","mr-0 src","truncate","font-medium","truncate 3","p-px src","km:text-[0","truncate 4"
"https://shopee.vn/10.900%C4%91-K%C3%ADnh-c%C6%B0%E1%BB%9Dng-l%E1%BB%B1c-iphone-ch%E1%BB%91ng-nh%C3%ACn-tr%E1%BB%99m-t%E1%BB%B1-d%C3%A1n-Baik%C3%B4-full-m%C3%A0n-ip-x-xsmax-11-12-13-14-15-16-17-pro-promax-plus-i.204928811.3319486827?extraParams=%7B%22display_model_id%22%3A301769354676%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lz1nf95i79e5fb_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-61%","10.900đ Kính cường lực iphone chống nhìn trộm tự dán Baikô full màn ip x/xsmax/11/12/13/14/15/16/17/pro/promax/plus","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","Rẻ Vô Địch","13.622","Đã bán 1000k+","","",""
"https://shopee.vn/%E1%BB%90p-l%C6%B0ng-iphone-TPU-Silicon-B%E1%BA%A3o-V%E1%BB%87-B%E1%BB%91n-G%C3%B3c-Trong-Si%C3%AAu-Ch%E1%BB%91ng-S%E1%BB%91c-6plus-7plus-8plus-x-xs-11-12-13-14-15-16-17-pro-max-U4-13-i.7669738.18381625974?extraParams=%7B%22display_model_id%22%3A108510458037%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-liy168tjbx765a_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","-40%","Ốp lưng iphone TPU Silicon Bảo Vệ Bốn Góc Trong Siêu Chống Sốc 6plus/7plus/8plus/x/xs/11/12/13/14/15/16/17/pro/max U4-13","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","","14.900","Đã bán 500k+","https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m0h2cd40nde732_tn.webp","Đang bán chạy",""
"https://shopee.vn/K%C3%ADnh-c%C6%B0%E1%BB%9Dng-l%E1%BB%B1c-iphone-ch%E1%BB%91ng-nh%C3%ACn-tr%E1%BB%99m-kk-khung-t%E1%BB%B1-d%C3%A1n-t%E1%BB%B1-h%C3%BAt-b%E1%BB%A5i-ip-7-8X-Xsmax-11-12-13-14-15-16-17-pro-max-promax-plus-i.30674096.12432261294?extraParams=%7B%22display_model_id%22%3A265527262831%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lytqnfkgzqkt42_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-50%","Kính cường lực iphone chống nhìn trộm kk khung tự dán tự hút bụi ip 7/8X/Xsmax/11/12/13/14/15/16/17/pro/max/promax/plus","","Rẻ Vô Địch","17.470","Đã bán 100k+","","",""
"https://shopee.vn/C%C6%B0%E1%BB%9Dng-l%E1%BB%B1c-ch%E1%BB%91ng-nh%C3%ACn-tr%E1%BB%99m-c%C3%B3-khung-t%E1%BB%B1-d%C3%A1n-cho-iphone-11-pro-max-12-pro-max-13-promax-x-xr-xs-max-7-8-plus-14-15-16-17-i.449168894.20625866584?extraParams=%7B%22display_model_id%22%3A118986229847%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lxgcit0b6pjv9a_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-60%","Cường lực chống nhìn trộm có khung tự dán cho iphone 11 pro max 12 pro max 13 promax x xr xs max 7 8 plus 14 15 16 17","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3l2w2maml9a","","26.900","Đã bán 1000k+","https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m0h2cd40nde732_tn.webp","Đã bán 16","Giảm 3k₫"
"https://shopee.vn/K%C3%ADnh-C%C6%B0%E1%BB%9Dng-L%E1%BB%B1c-Ch%E1%BB%91ng-Nh%C3%ACn-Tr%E1%BB%99m-v%C3%A0-Trong-Su%E1%BB%91t-c%C3%B3-Khung-T%E1%BB%B1-D%C3%A1n-Cho-Iphone-Full-M%C3%A0n-x-xr-xs-11-12-13-14-15-16-pro-max-plus-i.993446455.22166624172?extraParams=%7B%22display_model_id%22%3A251036315597%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lwmauzoyhn8b6f_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-64%","Kính Cường Lực Chống Nhìn Trộm và Trong Suốt có Khung Tự Dán Cho Iphone Full Màn x xr xs 11 12 13 14 15 16 pro max plus","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","Rẻ Vô Địch","18.032","Đã bán 400k+","","",""
"https://shopee.vn/%E1%BB%90p-L%C6%B0ng-iPhone-TPU-4-G%C3%B3c-Si%C3%AAu-Ch%E1%BB%91ng-S%E1%BB%91c-Cao-C%E1%BA%A5p-iP-6-6s-7-8-Plus-X-XS-XR-11-12-13-14-15-16-17-Pro-Max-Mini-i.89827191.2265399926?extraParams=%7B%22display_model_id%22%3A29613983260%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m9zsat7xhi562f_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-31%","Ốp Lưng iPhone TPU 4 Góc Siêu Chống Sốc Cao Cấp  - iP 6/6s/7/8/Plus/X/XS/XR/11/12/13/14/15/16/17/Pro/Max/Mini","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","Rẻ Vô Địch","13.900","Đã bán 700k+","","",""
"https://shopee.vn/%E1%BB%90p-L%C6%B0ng-iPhone-Vi%E1%BB%81n-Cao-Ch%E1%BB%91ng-S%E1%BB%91c-B%E1%BA%A3o-V%E1%BB%87-Camera-Cao-C%E1%BA%A5p-iP-6-7-8-X-XS-XR-11-12-13-14-15-16-17-Plus-Air-Pro-Max-Mini-i.89827191.22887105204?extraParams=%7B%22display_model_id%22%3A186324933679%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-ma01qxdpn1bi42_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-37%","Ốp Lưng iPhone Viền Cao Chống Sốc, Bảo Vệ Camera, Cao Cấp - iP 6/7/8/X/XS/XR/11/12/13/14/15/16/17/Plus/Air/Pro/Max/Mini","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","","14.900","Đã bán 100k+","","",""
"https://shopee.vn/Gi%C3%A1-%C4%90%E1%BB%A1-%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-livestream-xem-video-%E1%BB%94n-%C4%90%E1%BB%8Bnh-Xoay-360-%C4%90%E1%BB%99-d%C3%B9ng-%C4%91%E1%BB%83-Quay-Phim-Ghi-H%C3%ACnh-%C4%90a-n%C4%83ng-i.61629434.8365508789?extraParams=%7B%22display_model_id%22%3A65881498641%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/9e349d9013a49d49782b16290fd64a23_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-7%","Giá Đỡ Điện Thoại livestream xem video Ổn Định Xoay 360 Độ dùng để Quay Phim Ghi Hình Đa năng","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","Rẻ Vô Địch","17.640","Đã bán 100k+","","",""
"https://shopee.vn/%E1%BB%90p-l%C6%B0ng-iphone-camera-vi%E1%BB%81n-cao-%C4%91%C3%B4i-m%E1%BA%AFt-6-6s-6plus-7-8-plus-x-xs-11-12-13-14-15-pro-max-plus-promax-Awifi-Case-A3-8-i.7669738.23259752310?extraParams=%7B%22display_model_id%22%3A204711671810%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lnji83vc90j19a_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","-47%","Ốp lưng iphone camera viền cao đôi mắt 6/6s/6plus/7/8/plus/x/xs/11/12/13/14/15/pro/max/plus/promax - Awifi Case A3-8","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","","15.900","Đã bán 100k+","","",""
"https://shopee.vn/%E1%BB%90p-l%C6%B0ng-iphone-vi%E1%BB%81n-cao-ch%E1%BB%91ng-s%E1%BB%91c-basic-6-6s-6plus-7-8-plus-x-xs-11-12-13-14-15-pro-max-plus-promax-Awifi-Case-A1-14-i.7669738.19585459590?extraParams=%7B%22display_model_id%22%3A49367377962%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lqboilhjabpuc7_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","-31%","Ốp lưng iphone viền cao chống sốc basic 6/6s/6plus/7/8/plus/x/xs/11/12/13/14/15/pro/max/plus/promax - Awifi Case A1-14","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","","13.900","Đã bán 100k+","","",""
