"contents href","inset-y-0 src","w-full src","absolute","line-clamp-2","truncate","font-medium","truncate 3","mr-0 src"
"https://shopee.vn/G%C4%83ng-tay-ch%E1%BB%91ng-n%E1%BA%AFng-nam-n%E1%BB%AF-%E1%BB%91ng-tay-ch%E1%BB%91ng-tia-UV-thun-l%E1%BA%A1nh-co-gi%C3%A3n-4-chi%E1%BB%81u-ch%C3%ADnh-hi%E1%BB%87u-Luxury-Korea-i.87123088.23136154086?extraParams=%7B%22display_model_id%22%3A118038295515%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lf14mxrqqedz09_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-77%","Găng tay chống nắng nam nữ, ống tay chống tia UV, thun lạnh, co giãn 4 chiều chính hiệu Luxury Korea","Rẻ Vô Địch","6.859","Đã bán 200k+",""
"https://shopee.vn/M%C5%A9-Ch%E1%BB%91ng-N%E1%BA%AFng-th%E1%BB%9Di-trang-MENG-%F0%9F%8C%B8FREESHIP%F0%9F%8C%B8-N%C3%B3n-Nam-N%E1%BB%AF-N%E1%BB%ADa-%C4%90%E1%BA%A7u-r%E1%BB%99ng-v%C3%A0nh-Ch%E1%BB%91ng-UV-N%C4%83ng-%C4%90%E1%BB%99ng-Tr%E1%BA%BB-Trung-i.349111648.20578083076?extraParams=%7B%22display_model_id%22%3A231437270833%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lfdh50xdybn9c7_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4bplg1ouf81","-1%","Mũ Chống Nắng thời trang MENG 🌸FREESHIP🌸 Nón Nam,Nữ Nửa Đầu rộng vành Chống UV Năng Động Trẻ Trung","Rẻ Vô Địch","19.899","Đã bán 100k+",""
"https://shopee.vn/Combo-12-K%E1%BA%B9p-t%C3%B3c-c%C3%A0ng-cua-%C4%90en-nh%C3%A1m-%C4%90en-b%C3%B3ng-D%E1%BA%BBo-Kh%C3%B4ng-G%C3%A3y-P0217-i.175889782.4463309575?extraParams=%7B%22display_model_id%22%3A104374642122%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134211-7ras8-m56tr9arsj06d8_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","","Combo 12 Kẹp tóc càng cua Đen nhám Đen bóng Dẻo Không Gãy P0217","Rẻ Vô Địch","9.000","Đã bán 1000k+","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6"
"https://shopee.vn/Charm-Ch%E1%BB%AF-%C4%90%E1%BB%A5c-Mini-Trang-Tr%C3%AD-Ti%E1%BB%83u-C%E1%BA%A3nh-Handmade-%E1%BB%90p-L%C6%B0ng-B%C3%ACnh-N%C6%B0%E1%BB%9Bc-N%C3%B3n-B%E1%BA%A3o-Hi%E1%BB%83m-K%E1%BA%B9pT%C3%B3c-1-c%C3%A1i-Charm-Lumi-i.1472118189.27227362254?extraParams=%7B%22display_model_id%22%3A223847028917%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m7lnqvvsbeyra4_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-1%","Charm Chữ Đục Mini Trang Trí Tiểu Cảnh,Handmade Ốp Lưng,Bình Nước,Nón Bảo Hiểm,KẹpTóc [1 cái ]-Charm Lumi","Rẻ Vô Địch","4.930","Đã bán 500k+","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3l2w2maml9a"
"https://shopee.vn/K%E1%BA%B9p-c%C3%A0ng-cua-NOVSET-K%E1%BA%B9p-t%C3%B3c-c%C3%A0ng-cua-3-r%C4%83ng-v%C3%A0-5-r%C4%83ng-c%E1%BA%B7p-t%C3%B3c-thi%E1%BA%BFt-k%E1%BA%BF-%C4%91en-nh%C3%A1m-phong-c%C3%A1ch-h%C3%A0n-qu%E1%BB%91c-T1-KHO2--i.35745690.2382556437?extraParams=%7B%22display_model_id%22%3A43122269430%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/6606a8d113cc88bc980bf73ce1306c5a_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-17%","Kẹp càng cua NOVSET Kẹp tóc càng cua 3 răng và 5 răng , cặp tóc thiết kế đen nhám phong cách hàn quốc [ T1-KHO2 ]","Rẻ Vô Địch","14.450","Đã bán 300k+",""
"https://shopee.vn/G%C3%B3i-100g-chun-bu%E1%BB%99c-t%C3%B3c-m%C3%A0u-%C4%91en-giadungphuongnguyen-S4-T1_KHO1--i.35745690.2324262942?extraParams=%7B%22display_model_id%22%3A60877116933%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/3819b6b298445cb523c5047113006c22_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","","Gói 100g chun buộc tóc màu đen - giadungphuongnguyen [ S4 ] [T1_KHO1]","","21.000","Đã bán 100k+",""
"https://shopee.vn/SET-12-k%E1%BA%B9p-c%C3%A0ng-cua-d%E1%BA%BBo-b%E1%BB%81n-to-i.322994924.23249058870?extraParams=%7B%22display_model_id%22%3A187172929347%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134211-7r98o-loghqcb53m4736_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","","SET 12 kẹp càng cua dẻo bền,to","","10.000","Đã bán 100k+","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6"
"https://shopee.vn/Chun-c%E1%BB%99t-t%C3%B3c-d%E1%BA%A1ng-l%C3%B2-xo-xo%E1%BA%AFn-t%E1%BA%A1o-ki%E1%BB%83u-m%C3%A0u-c%E1%BA%A7u-v%E1%BB%93ng-c%C3%B3-%C4%91%C3%ADnh-hoa-N%C6%A1-d%E1%BB%85-th%C6%B0%C6%A1ng-cho-b%C3%A9%F0%9F%8D%80FREESHIP%F0%9F%8D%80D%C3%A2y-bu%E1%BB%99c-t%C3%B3c-l%C3%B2-xo-cho-b%C3%A9-i.327887078.22456047967?extraParams=%7B%22display_model_id%22%3A29425452158%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134201-7r98o-lm4u7ahduaqn1e_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-24%","Chun cột tóc dạng lò xo xoắn tạo kiểu màu cầu vồng có đính hoa,Nơ dễ thương cho bé🍀FREESHIP🍀Dây buộc tóc lò xo cho bé","Rẻ Vô Địch","6.859","Đã bán 100k+","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6"
"https://shopee.vn/Set-5-%C4%90%C3%B4i-T%E1%BA%A5t-V%E1%BB%9B-Nam-N%E1%BB%AF-C%E1%BB%95-Cao-C%E1%BB%95-trung-l%E1%BB%ADng-ng%E1%BA%AFn-ch%E1%BA%A5t-li%E1%BB%87u-cotton-i.450935124.9483583305?extraParams=%7B%22display_model_id%22%3A216192174655%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mhtu5el75ou9ec_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-5%","Set 5 Đôi Tất Vớ Nam Nữ Cổ Cao Cổ trung lửng ngắn chất liệu cotton","","19.900","Đã bán 100k+",""
"https://shopee.vn/Kh%C4%83n-turban-bandana-headband-20-m%C3%A0u-th%E1%BB%9Di-trang-cho-nam-n%E1%BB%AF-i.157404536.2674517258?extraParams=%7B%22display_model_id%22%3A13833090590%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/sg-11134201-22110-w0ehjw0etejv3a_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","","Khăn turban bandana headband 20 màu thời trang cho nam nữ","Rẻ Vô Địch","9.500","Đã bán 100k+","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6"
