"contents href","inset-y-0 src","w-full src","absolute","line-clamp-2","mr-0 src","font-medium","truncate 2","p-px src","km:text-[0","truncate 3"
"https://shopee.vn/(Combo-100-c%C3%A1i)-Kh%E1%BA%A9u-trang-5D-cho-b%C3%A9-tho%C3%A1ng-m%C3%A1t-%C4%91a-d%E1%BA%A1ng-m%E1%BA%ABu-m%C3%A3-cho-tr%E1%BA%BB-em-t%E1%BB%AB-0-2tu%E1%BB%95i-2-5tu%E1%BB%95i-4-8-tu%E1%BB%95i-i.26498809.24706347629?extraParams=%7B%22display_model_id%22%3A275160570008%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mclvl6or5ne51b_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-15%","(Combo 100 cái) Khẩu trang 5D cho bé, thoáng mát, đa dạng mẫu mã cho trẻ em từ 0-2tuổi, 2-5tuổi, 4-8 tuổi","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mfjl4hy7rsi3b3","16.099","Đã bán 80k+","","",""
"https://shopee.vn/-COMBO-5-H%E1%BB%98P-H%E1%BB%98P-50-CHI%E1%BA%BEC-KH%E1%BA%A8U-TRANG-Y-T%E1%BA%BE-4-L%E1%BB%9AP-CAO-C%E1%BA%A4P-Hero-Nh%E1%BB%B1t-H%C3%A0o-i.172491805.12584100820?extraParams=%7B%22display_model_id%22%3A139374968279%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-maqt9k5kyrx330_tn.webp","","-45%","[COMBO 5 HỘP] HỘP 50 CHIẾC KHẨU TRANG Y TẾ 4 LỚP CAO CẤP, Hero/ Nhựt Hào","","21.500","Đã bán 90k+","","",""
"https://shopee.vn/%E2%9D%8CCOMBO-10%E2%9D%8C-T%C4%83m-B%C3%B4ng-Ngo%C3%A1y-Tai-Th%C3%A2n-G%E1%BB%97-(G%C3%B3i-100c)-T%C4%83m-B%C3%B4ng-N%E1%BA%B7n-M%E1%BB%A5n-Hai-%C4%90%E1%BA%A7u-%C4%90a-N%C4%83ng-V%E1%BB%87-Sinh-An-To%C3%A0n-88383-TH%E1%BA%BE-GI%E1%BB%9AI-88-i.184221549.17794643362?extraParams=%7B%22display_model_id%22%3A305572541529%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lgsvp7t6uupfe0_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","-42%","❌COMBO 10❌ Tăm Bông Ngoáy Tai Thân Gỗ,(Gói 100c) Tăm Bông Nặn Mụn Hai Đầu Đa Năng Vệ Sinh An Toàn 88383 THẾ GIỚI 88","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","6.999","Đã bán 500k+","https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m0h2cd40nde732_tn.webp","Đang bán chạy",""
"https://shopee.vn/Kh%E1%BA%A9u-trang-5d-Ch%C3%ADnh-H%C3%A3ng-C%C3%B4ng-Ty-Th%E1%BB%8Bnh-Ph%C3%A1t-3-l%E1%BB%9Bp-kh%C3%A1ng-khu%E1%BA%A9n-SHIP-2H-HO%E1%BA%A2-T%E1%BB%90C-HCM--i.558793893.19274819704?extraParams=%7B%22display_model_id%22%3A231103140741%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134201-23030-6wf2dxr774nvf2_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","-42%","Khẩu trang 5d Chính Hãng Công Ty Thịnh Phát 3 lớp kháng khuẩn [SHIP 2H HOẢ TỐC HCM]","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mfjl4hy7rsi3b3","22.530","Đã bán 200k+","","",""
"https://shopee.vn/Th%C3%B9ng-100-Chi%E1%BA%BFc-Kh%E1%BA%A9u-Trang-5D-Duy-Kh%C3%A1nh-3-L%E1%BB%9Bp-Kh%C3%A1ng-Khu%E1%BA%A9n-i.794789589.23950982711?extraParams=%7B%22display_model_id%22%3A108211040430%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lkagwbfk8m1o08_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-50%","Thùng 100 Chiếc Khẩu Trang 5D Duy Khánh 3 Lớp Kháng Khuẩn","","4.985","Đã bán 70k+","","",""
"https://shopee.vn/SHIP-HCM-HO%E1%BA%A2-T%E1%BB%90C-2H-Kh%E1%BA%A9u-trang-5D-KENKO-kh%C3%A1ng-khu%E1%BA%A9n-kh%E1%BA%A9u-trang-KENKO-5D-m%C3%A0u-tr%E1%BA%AFng-d%C3%A0nh-cho-ng%C6%B0%E1%BB%9Di-l%E1%BB%9Bn-i.558793893.18127868940?extraParams=%7B%22display_model_id%22%3A175776859026%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lmwqzbho3mqndb_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","-34%","SHIP HCM HOẢ TỐC 2H]Khẩu trang 5D KENKO kháng khuẩn, khẩu trang KENKO 5D màu trắng dành cho người lớn","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mfjl4hy7rsi3b3","21.100","Đã bán 100k+","","",""
"https://shopee.vn/T%C3%BAi-ch%C6%B0%E1%BB%9Dm-n%C3%B3ng-%C4%91au-b%E1%BB%A5ng-kinh-Gi%E1%BA%A3m-%C4%91au-H%E1%BA%A1-s%E1%BB%91t-k%E1%BB%B3-d%C3%A2u-Ch%C6%B0%E1%BB%9Dm-l%E1%BA%A1nh-ph%E1%BB%A5c-h%E1%BB%93i-v%E1%BA%BFt-th%C6%B0%C6%A1ng-Gi%E1%BB%AF-nhi%E1%BB%87t-%E1%BA%A5m-l%C3%B4ng-m%E1%BB%81m-m%E1%BB%8Bn-d%E1%BB%85-th%C6%B0%C6%A1ng-i.109638853.7496313173?extraParams=%7B%22display_model_id%22%3A108459980946%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lsoe8crilyo432_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-2%","Túi chườm nóng đau bụng kinh Giảm đau Hạ sốt kỳ dâu Chườm lạnh phục hồi vết thương - Giữ nhiệt ấm lông mềm mịn dễ thương","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","25.404","Đã bán 80k+","","",""
"https://shopee.vn/Th%C3%B9ng-Kh%E1%BA%A9u-Trang-5D-Mask-Th%E1%BB%8Bnh-Ph%C3%A1t-Cao-C%E1%BA%A5p-i.172491805.22969393398?extraParams=%7B%22display_model_id%22%3A49313372898%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lnv9o65nb6y54a_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","-36%","Thùng Khẩu Trang 5D Mask Thịnh Phát Cao Cấp","","25.000","Đã bán 80k+","https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m0h2cd40nde732_tn.webp","Đang bán chạy",""
"https://shopee.vn/Kh%E1%BA%A9u-Trang-5D-Mask-VINAMASK-H%C3%A0ng-Ch%E1%BA%A5t-L%C6%B0%E1%BB%A3ng-3-L%E1%BB%9Bp-Kh%C3%A1ng-Khu%E1%BA%A9n-%C4%90%C6%B0%E1%BB%A3c-Ki%E1%BB%83m-Tra-H%C3%A0ng-i.558793893.18871981178?extraParams=%7B%22display_model_id%22%3A230813685014%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/sg-11134201-23010-kondioox4vmvf0_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","-37%","Khẩu Trang 5D Mask VINAMASK Hàng Chất Lượng 3 Lớp Kháng Khuẩn Được Kiểm Tra Hàng","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mfjl4hy7rsi3b3","23.170","Đã bán 100k+","","",""
"https://shopee.vn/Th%C3%B9ng-100-Chi%E1%BA%BFc-Kh%E1%BA%A9u-Trang-5D-Seiko-i.794789589.22837973423?extraParams=%7B%22display_model_id%22%3A217152101215%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lffi9sqr4q5x5e_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-70%","Thùng 100 Chiếc Khẩu Trang 5D Seiko","","2.999","Đã bán 100k+","","",""
