"contents href","inset-y-0 src","w-full src","absolute","line-clamp-2","mr-0 src","truncate","font-medium","truncate 2"
"https://shopee.vn/M%E1%BB%9Bi-L%E1%BB%9Bn-Ng%E1%BB%8Dt-Ng%C3%A0o-B%C3%A9-G%C3%A1i-Nhi%E1%BB%81u-M%C3%A0u-S%E1%BA%AFc-%C4%90u%C3%B4i-Ng%E1%BB%B1a-Scrunchies-T%C3%B3c-%C4%90%E1%BA%A7u-D%C3%A2y-Bu%E1%BB%99c-T%C3%B3c-i.178706384.24918279332?extraParams=%7B%22display_model_id%22%3A240454311485%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/sg-11134201-7rcbz-lsrv5s5up73i71_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-2%","Mới Lớn Ngọt Ngào Bé Gái Nhiều Màu Sắc Đuôi Ngựa Scrunchies Tóc Đầu Dây Buộc Tóc","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","Rẻ Vô Địch","10.998","Đã bán 100k+"
"https://shopee.vn/Combo-14-k%E1%BA%B9p-t%C3%B3c-h%C3%ACnh-th%C3%BA-Set-k%E1%BA%B9p-C%E1%BA%B7p-C%E1%BB%99t-t%C3%B3c-14-m%C3%B3n-cho-b%C3%A9-g%C3%A1i-h%C3%ACnh-ho%E1%BA%A1t-h%C3%ACnh-cute-xinh-x%E1%BA%AFn-hot.-(TUY%E1%BB%82N-S%C3%8D)-i.349111648.27201333621?extraParams=%7B%22display_model_id%22%3A240921039198%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lvwnnr67vd2121_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","","Combo 14 kẹp tóc hình thú  - Set kẹp,Cặp,Cột tóc 14 món cho bé gái hình hoạt hình cute xinh xắn hot. (TUYỂN SÍ)","","","18.999","Đã bán 40k+"
"https://shopee.vn/Set-k%E1%BA%B9p-C%E1%BA%B7p-C%E1%BB%99t-t%C3%B3c-14-m%C3%B3n-cho-b%C3%A9-g%C3%A1i-h%C3%ACnh-ho%E1%BA%A1t-h%C3%ACnh-cute-xinh-x%E1%BA%AFn-hot-2023%F0%9F%8D%80FREESHIP%F0%9F%8D%80Combo-14-k%E1%BA%B9p-t%C3%B3c-h%C3%ACnh-th%C3%BA-cho-b%C3%A9-i.327887078.18299007549?extraParams=%7B%22display_model_id%22%3A207780316439%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134201-7r98o-lmu1j0dzi57j20_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-9%","Set kẹp,Cặp,Cột tóc 14 món cho bé gái hình hoạt hình cute xinh xắn hot 2023🍀FREESHIP🍀Combo 14 kẹp tóc hình thú cho bé","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","Rẻ Vô Địch","14.550","Đã bán 30k+"
"https://shopee.vn/Kh%C4%83n-len-%E1%BB%91ng-h%E1%BB%8Da-ti%E1%BA%BFt-h%C6%B0%C6%A1u-%F0%9F%8C%B8FREESHIP%F0%9F%8C%B8Kha%CC%86n-qua%CC%80ng-co%CC%82%CC%89-cho-be%CC%81-2-15-tu%E1%BB%95i-(tuy%E1%BB%83n-s%E1%BB%89)-i.349111648.12429059654?extraParams=%7B%22display_model_id%22%3A95333871665%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/d9060a871e4738ddf71c12894ad919fe_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4bplg1ouf81","-22%","Khăn len ống họa tiết hươu 🌸FREESHIP🌸Khăn quàng cổ cho bé 2-15 tuổi (tuyển sỉ)","","Rẻ Vô Địch","12.478","Đã bán 20k+"
"https://shopee.vn/Set-500-chun-c%E1%BB%99t-t%C3%B3c-tr%C6%A1n-cho-b%C3%A9-nhi%E1%BB%81u-m%C3%A0u-d%E1%BB%85-th%C6%B0%C6%A1ng-i.8458890.23674587011?extraParams=%7B%22display_model_id%22%3A188689508927%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m0s7flkk26xb06_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-37%","Set 500 chun cột tóc trơn cho bé nhiều màu dễ thương","","","12.000","Đã bán 70k+"
"https://shopee.vn/PVN27101-S%C3%A9t-K%E1%BA%B9p-T%C3%B3c-14-M%C3%B3n-Nhi%E1%BB%81u-H%C3%ACnh-Kute-Cho-B%C3%A9-G%C3%A1i-T2-i.118645835.8945062562?extraParams=%7B%22display_model_id%22%3A54989334515%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134201-7ras8-m1fkdljs3qnzfe_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4bplg1ouf81","","PVN27101 Sét Kẹp Tóc 14 Món Nhiều Hình Kute Cho Bé Gái T2","","","18.451","Đã bán 20k+"
"https://shopee.vn/SET-500-chun-d%C3%A2y-thun-c%E1%BB%99t-t%C3%B3c-h%E1%BB%8Da-ti%E1%BA%BFt-g%C3%A2n-th%E1%BB%ABng-d%C3%A0n-h%E1%BB%93i-cao-chuy%C3%AAn-cho-tr%E1%BA%BB-s%C6%A1-sinh-v%C3%A0-tr%E1%BA%BB-nh%E1%BB%8F-m%E1%BA%A7m-non-kh%C3%B4ng-g%C3%A2y-%C4%91au-t%C3%B3c-i.225214701.42601529322?extraParams=%7B%22display_model_id%22%3A280124461421%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134211-7ra0g-ma0oo774x5j828_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-48%","SET 500 chun dây thun cột tóc họa tiết gân thừng dàn hồi cao chuyên cho trẻ sơ sinh và trẻ nhỏ mầm non không gây đau tóc","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","Rẻ Vô Địch","10.395","Đã bán 20k+"
"https://shopee.vn/Kh%E1%BA%A9u-trang-g%E1%BA%A5u-b%C3%A9-S%C6%A1-Sinh-0-3-tu%E1%BB%95i-SET-3-C%C3%A1i-kh%E1%BA%A9u-trang-tr%E1%BA%BB-em-ch%C3%ADnh-h%C3%A3ng-UNI-MASK-c%C3%B4ng-ngh%E1%BB%87-Nh%E1%BA%ADt-i.187219278.16432881111?extraParams=%7B%22display_model_id%22%3A153585739908%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lym7s6ef34nh31_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-9%","Khẩu trang gấu bé Sơ Sinh 0-3 tuổi [ SET 3 Cái] khẩu trang trẻ em chính hãng UNI MASK công nghệ Nhật","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","","19.950","Đã bán 100k+"
"https://shopee.vn/Set-500-1000-2000-d%C3%A2y-thun-bu%E1%BB%99c-t%C3%B3c-%C4%91u%C3%B4i-ng%E1%BB%B1a-KIDSBOWS-nhi%E1%BB%81u-m%C3%A0u-s%E1%BA%AFc-d%C3%A0nh-cho-b%C3%A9-g%C3%A1i-i.214291371.19679611946?extraParams=%7B%22display_model_id%22%3A127576021658%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/sg-11134201-7qved-lgkk0kl2gxc0a0_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-35%","Set 500 / 1000 / 2000 dây thun buộc tóc đuôi ngựa KIDSBOWS nhiều màu sắc dành cho bé gái","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3kdam2qw17d","","13.000","Đã bán 80k+"
"https://shopee.vn/Set-14-K%E1%BA%B9p-T%C3%B3c-B%C3%A9-g%C3%A1i%F0%9F%8D%80FREESHIP%F0%9F%8D%80K%E1%BA%B9p-T%C3%B3c-H%E1%BB%8Da-Ti%E1%BA%BFt-Ho%E1%BA%A1t-H%C3%ACnh-Ki%E1%BB%83u-H%C3%A0n-Qu%E1%BB%91c-D%E1%BB%85-Th%C6%B0%C6%A1ng-Cho-B%C3%A9-i.327887078.20973446847?extraParams=%7B%22display_model_id%22%3A146623032747%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134201-23020-fzasu6izuknvf0_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4bplg1ouf81","-3%","Set 14 Kẹp Tóc Bé gái🍀FREESHIP🍀Kẹp Tóc Họa Tiết Hoạt Hình Kiểu Hàn Quốc Dễ Thương Cho Bé","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","Rẻ Vô Địch","14.552","Đã bán 30k+"
