,id,name,description,original_price,price,fulfillment_type,brand,review_count,rating_average,favourite_count,pay_later,current_seller,date_created,number_of_images,vnd_cashback,has_video,category,quantity_sold
0,171126920,tang đeo cài áo,"       Ghim kẹp cài áo màu trắng,   màu đen dùng để đeo tang   sản phẩm được thiết kế vừa với I quy chuẩn ăn giúp người đeo tang cảm thấy tiện lợi và nhanh chóng   nhang đèn thiên hương phước ...",10000,10000,dropship,OEM,2,5.0,0,False,Siêu thị vàng mã Thiên Hương Phước,539,3,0,False,Root,106
1,154165256,Bộ Móc May Áo Ngực Loại 2 Móc Cài,Khách Sỉ: Vui lòng Inbox Shop❀ComLiti Shop xin chân thành cảm ơn bạn đã quan tâm đến sản phẩm❀Bộ Móc May Áo Ngực Loại 2 Móc Cài 1.MÔ TẢ❀❀❀Bộ Móc Khóa Cài Dùng May Áo Ngực Loại 2 Móc Cài là phụ k...,7000,7000,dropship,OEM,1,4.0,0,False,Comliti Shop,602,6,0,True,Cài Áo,5
2,154165506,Miếng Nối Rộng Tăng Size Áo Ngực 4 Móc Cài-Móc Nới Nhiều Màu [ Bảng Màu 1 ],Khách Sỉ: Vui lòng Inbox Shop❀ComLiti Shop xin chân thành cảm ơn bạn đã quan tâm đến sản phẩm❀Miếng Nối Rộng Tăng Size Áo Ngực 4 Móc Cài-Móc Nới Nhiều Màu 1.MÔ TẢ❀❀❀Khi chiếc áo ngực ưa thích nh...,8000,8000,dropship,OEM,1,5.0,0,False,Comliti Shop,603,7,0,True,Cài Áo,17
3,122210096,GOTI - Ghim Cài Áo Hình Chiếc Lá Trắng Đính Ngọc Sang Trọng Nữ Tính Kiểu Phụ Kiện Trang Trí Trâm Cài Váy Đầm Dành Cho Nữ Cài Vest Nữ GOTI 01,GOTI - Ghim Cài Áo Hình Chiếc Lá Trắng Đính Ngọc Sang Trọng Nữ Tính Kiểu Phụ Kiện Trang Trí Trâm Cài Váy Đầm Dành Cho Nữ Cài Vest Nữ Tag cài áo hình hoa xanh cao cấp và nhiều loại khác dành cho nữ đư...,15000,13500,dropship,GOTI,22,4.8,0,False,GOTI Official Store,729,4,361,False,Cài Áo,66
4,149436768,Vỉ nút bấm áo dài 36 nút hiệu POP,"       Vỉ gồn 36 bộ nút bấm áo dài, áo bà ba, quần áo em bé   Nút sử dụng thép không rỉ cho độ bền cao   Shop chuyên nguyên phụ liệu may mặc   ...",13600,13600,dropship,OEM,8,5.0,0,False,Shop Máy Cắt,636,3,0,False,Root,63
5,104958918,"GOTI - Cài Áo Thiên Nga, Bươm Bướm, Hoa Và Hạt Kiểu Dáng Trâm Cài Phụ Kiện Đẹp Dành Cho Nữ Cài Áo, Váy Đầm GOTI CA02","GOTI - Cài Áo Thiên Nga, Bươm Bướm, Hoa Và Hạt Kiểu Dáng Trâm Cài Phụ Kiện Đẹp Dành Cho Nữ Cài Áo, Váy Đầm Tag cài áo cao cấp dành cho nữ được thiết kế rất đẹp chất liệu hợp kim cao cấp sắc nén, lấp ...",15000,13500,dropship,GOTI,8,4.5,0,False,GOTI Official Store,822,5,361,True,Cài Áo,47
6,135072308,NAM CHÂM CÀI ÁO HUY HIỆU THẺ TÊN LOẠI 1 VIÊN NAM CHÂM,"       [Thông tin huy hiệu từ]   Huy hiệu từ   1. Kiểu: Nam châm huy hiệu N35, có thể được trang bị băng keo hai mặt khác nhau;   2. Kích thước: thông số kỹ thuật là D17 (mm)   3. Chất liệu: s...",4500,4500,dropship,OEM,2,5.0,0,False,Siêu thị nam châm siêu cường,682,4,0,False,Root,51
7,147463814,"Sticker, Huy hiệu, Pin cài áo, Balo hình Khủng Long siêu dễ thương, cá tính","       The Alice xin giới thiệu sản phẩm : Phụ kiện, pin cài Balo áo hình Khủng long   Hottrend Bò sữa chưa bao giờ hết Hot với các bạn trẻ chúng ta vì quá là dễ thương mà lại phù hợp với mọi lứa...",2800,2800,dropship,OEM,1,4.0,0,False,The Alice Store,642,10,0,False,Root,22
8,196851321,GHIM CÀI ÁO BALO TÚI VÍ - STICKER TRANG TRÍ HOẠT HÌNH DỄ THƯƠNG,"Pin cài áo cute phụ kiện trang trí balo túi vảiPhụ kiện stickers pin cài áo trang trí cute túi xách ba lô cặp đi học đi chơi ST01 Thành phần: Nhựa Meka, sắt Thông số kỹ thuật- Kích thước: 3 cm- ...",3000,1900,dropship,OEM,4,3.3,0,False,CoCa Shop,372,7,50,False,Cài Áo,169
9,151427888,Cài áo hình con ong nhỏ xinh,"       Cài áo hình con ong   sử dụng trang trí trên váy vóc, áo, áo    sản phẩm như hình   shop chuyên nguyên phụ liệu may mặc nhé   ...",15000,15000,dropship,OEM,1,2.0,0,False,maycatvai,630,4,0,False,Cài Áo,1
