"contents href","inset-y-0 src","w-full src","absolute","line-clamp-2","mr-0 src","font-medium","truncate","truncate 4"
"https://shopee.vn/(CH%E1%BB%8CN-M%C3%80U-SIZE)-G%C3%B3i-100-D%C3%A2y-R%C3%BAt-Nh%E1%BB%B1a-D%C3%A2y-Th%C3%ADt-Nh%E1%BB%B1a-L%E1%BA%A1t-Kh%C3%B3a-Si%C3%AAu-Ch%E1%BA%AFc-C%C3%A1c-C%E1%BB%A1-10cm-15cm-20cm-25cm-30cm-i.166962170.22761403801?extraParams=%7B%22display_model_id%22%3A270627555774%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-loe5z6lyqrhze1_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-40%","(CHỌN MÀU/SIZE) Gói 100 Dây Rút Nhựa - Dây Thít Nhựa Lạt Khóa Siêu Chắc Các Cỡ 10cm 15cm 20cm 25cm 30cm","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","9.000","Đã bán 70k+",""
"https://shopee.vn/V%C3%B2i-l%E1%BB%8Dc-n%C6%B0%E1%BB%9Bc-r%E1%BB%ADa-b%C3%A1t-t%C4%83ng-%C3%A1p-xoay-360-c%C3%B3-th%E1%BB%83-k%C3%A9o-d%C3%A0i-ch%E1%BB%91ng-b%E1%BA%AFn-n%C6%B0%E1%BB%9Bc-Dbavio-i.36169950.9125188028?extraParams=%7B%22display_model_id%22%3A208688214220%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/d9b4879d98782255ff753b730e2e6261_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-20%","Vòi lọc nước rửa bát tăng áp xoay 360 có thể kéo dài chống bắn nước - Dbavio","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","12.000","Đã bán 700k+",""
"https://shopee.vn/B%C4%83ng-keo-hai-m%E1%BA%B7t-Nano-d%E1%BA%A1ng-l%C6%B0%E1%BB%9Bi-B%C4%83ng-keo-li%E1%BB%81n-m%E1%BA%A1ch-c%C3%B3-%C4%91%E1%BB%99-b%C3%A1m-d%C3%ADnh-keo-hai-m%E1%BA%B7t-Acrylic-i.1279468474.29131950482?extraParams=%7B%22display_model_id%22%3A129311828735%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/sg-11134201-7rdwu-m15hvza3f4y6cf_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","-1%","Băng keo hai mặt Nano dạng lưới Băng keo liền mạch có độ bám dính keo hai mặt Acrylic","","8.700","Đã bán 40k+","Rẻ Vô Địch"
"https://shopee.vn/Keo-D%C3%A1n-Gi%C3%A0y-D%C3%A9p-LIGHBULB-%C4%90a-N%C4%83ng-Trong-Su%E1%BB%91t-Dung-T%C3%ADch-60ml-Ch%E1%BB%91ng-N%C6%B0%E1%BB%9Bc-T%E1%BB%91t-Si%C3%AAu-D%C3%ADnh-Ch%E1%BA%AFc-Ch%E1%BA%AFn-i.1168093398.26957105074?extraParams=%7B%22display_model_id%22%3A265210796020%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mif7g9g2l0jn4e_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-15%","Keo Dán Giày Dép LIGHBULB Đa Năng Trong Suốt Dung Tích 60ml Chống Nước Tốt Siêu Dính Chắc Chắn","","17.000","Đã bán 70k+",""
"https://shopee.vn/G%C3%B3i-100-d%C3%A2y-r%C3%BAt-nh%E1%BB%B1a-d%C3%A2y-th%C3%ADt-nh%E1%BB%B1a-tr%E1%BA%AFng-%C4%91en-%C4%91%E1%BB%A7-size-nhi%E1%BB%81u-k%C3%ADch-c%E1%BB%A1-i.1074506059.23783668457?extraParams=%7B%22display_model_id%22%3A295984948417%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lmyrkcpdl5uned_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-40%","Gói 100 dây rút nhựa dây thít nhựa trắng đen đủ size nhiều kích cỡ","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","12.000","Đã bán 50k+",""
"https://shopee.vn/B%E1%BB%8Bch-72-D%C3%A2y-R%C3%BAt-Nh%E1%BB%B1a-Poly-10cm-20cm-30cm-Gi%C3%A1-X%C6%B0%E1%BB%9Fng-i.48374262.3900796747?extraParams=%7B%22display_model_id%22%3A7794411529%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/db6a9bc7ae69185c3912e3dee4597a50_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-1%","Bịch 72 Dây Rút Nhựa Poly 10cm 20cm 30cm Giá Xưởng","","3.999","Đã bán 40k+","Rẻ Vô Địch"
"https://shopee.vn/D%C3%A2y-R%C3%BAt-Nh%E1%BB%B1a-D%C3%A2y-Th%C3%ADt-Nh%E1%BB%B1a-L%E1%BA%A1t-Kh%C3%B3a-Si%C3%AAu-Ch%E1%BA%AFc-C%C3%A1c-C%E1%BB%A1-10cm-15cm-20cm-25cm-30cm-i.388212846.29911048814?extraParams=%7B%22display_model_id%22%3A226764918741%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m0mscr2z5nn1dd_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-24%","Dây Rút Nhựa - Dây Thít Nhựa Lạt Khóa Siêu Chắc Các Cỡ 10cm 15cm 20cm 25cm 30cm","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","9.900","Đã bán 40k+",""
"https://shopee.vn/Th%C6%B0%E1%BB%9Bc-d%C3%A2y-cu%E1%BB%99n-mini-t%E1%BB%B1-r%C3%BAt-ti%E1%BB%87n-%C3%ADch-150cm-H2-i.39923306.23004110182?extraParams=%7B%22display_model_id%22%3A260963694950%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/sg-11134201-22110-sqxvmm1lrkjvd5_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4bplg1ouf81","-21%","Thước dây cuộn mini tự rút tiện ích 150cm H2","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3l2w2maml9a","7.900","Đã bán 70k+",""
"https://shopee.vn/COD%F0%9F%94%AE%F0%9F%94%AE%C4%90%C3%A1-m%C3%A0i-c%E1%BA%AFt-l%C3%A0m-v%C6%B0%E1%BB%9Dn-h%E1%BB%A3p-kim-m%C3%A0i-nhi%E1%BB%81u-l%C6%B0%E1%BB%A1i-dao-d%E1%BB%A5ng-c%E1%BB%A5-%C4%91a-n%C4%83ng-i.1200568440.28103583513?extraParams=%7B%22display_model_id%22%3A291543521563%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m0ju0jvd140ff9_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","-40%","COD🔮🔮Đá mài cắt làm vườn, hợp kim, mài nhiều lưỡi dao, dụng cụ đa năng","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","10.770","Đã bán 80k+",""
"https://shopee.vn/K%C3%ADnh-B%E1%BA%A3o-H%E1%BB%99-K%C3%ADnh-Ch%E1%BB%91ng-B%E1%BB%A5i-Cao-C%E1%BA%A5p-%C4%90%C3%A0i-Loan-i.48374262.2208640816?extraParams=%7B%22display_model_id%22%3A4157772631%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/871793494e4188bd7c7ec6dde2db7f86_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-6%","Kính Bảo Hộ Kính Chống Bụi Cao Cấp Đài Loan","","8.499","Đã bán 100k+","Rẻ Vô Địch"
"https://shopee.vn/PVN18007-%C4%90%E1%BA%A7u-v%C3%B2i-n%C6%B0%E1%BB%9Bc-b%E1%BB%99-%C4%91%E1%BA%A7u-l%E1%BB%8Dc-n%C6%B0%E1%BB%9Bc-t%C4%83ng-%C3%A1p-t%E1%BB%AB-v%C3%B2i-xoay-360-%C4%91%E1%BB%99-i.118645835.4853538514?extraParams=%7B%22display_model_id%22%3A111096779282%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134201-7ras8-m1fj7gh25rr335_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4bplg1ouf81","","PVN18007 Đầu vòi nước - bộ đầu lọc nước tăng áp từ vòi xoay 360 độ","","11.500","Đã bán 90k+",""
"https://shopee.vn/%E2%9A%A1SI%C3%8AU-D%C3%8DNH%E2%9A%A1-B%C4%83ng-Keo-2-M%E1%BA%B7t-B%C4%83ng-D%C3%ADnh-2-M%E1%BA%B7t-L%C6%B0%E1%BB%9Bi-S%E1%BB%A3i-Th%E1%BB%A7y-Tinh-C%C6%B0%E1%BB%9Dng-L%E1%BB%B1c-Si%C3%AAu-D%C3%ADnh-D%C3%A1n-Th%E1%BA%A3m-Tr%E1%BA%A3i-S%C3%A0n-Si%C3%AAu-Ch%E1%BA%AFc-88446-i.262349252.25021183707?extraParams=%7B%22display_model_id%22%3A194995658659%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ltepewsqpl093b_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","-13%","⚡SIÊU DÍNH⚡ Băng Keo 2 Mặt, Băng Dính 2 Mặt Lưới Sợi Thủy Tinh Cường Lực Siêu Dính Dán Thảm Trải Sàn Siêu Chắc 88446","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","10.496","Đã bán 60k+","Rẻ Vô Địch"
"https://shopee.vn/Keo-si%C3%AAu-d%C3%ADnh-d%C3%A1n-ch%E1%BA%AFc-nh%C6%B0-%C4%91%C3%B3ng-%C4%91inh-keo-c%C6%A1-kh%C3%AD-chuy%C3%AAn-d%C3%B9ng-d%C3%A1n-c%C3%A1c-%C4%91%E1%BB%93-v%E1%BA%ADt-thay-th%E1%BA%BF-%C4%91inh-v%C3%ADt-d%C3%A1n-treo-%C4%91%E1%BB%93-ch%E1%BA%AFc-ch%E1%BA%AFn-i.785300364.18813237081?extraParams=%7B%22display_model_id%22%3A180747240140%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/4c8480dc943f5b9195b98262374f173d_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","","Keo siêu dính dán chắc như đóng đinh, keo cơ khí chuyên dùng dán các đồ vật thay thế đinh vít, dán treo đồ chắc chắn","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mfjl4hy7rsi3b3","19.000","Đã bán 100k+",""
"https://shopee.vn/Sale-th%C6%B0%E1%BB%9Bc-cu%E1%BB%99n-inox-3m-5m-r%E1%BA%BB-b%E1%BA%A5t-ng%E1%BB%9D-i.1161764160.25407949531?extraParams=%7B%22display_model_id%22%3A69388916128%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lqe36cdnz2gncb_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-3%","Sale thước cuộn inox 3m,5m rẻ bất ngờ","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","9.702","Đã bán 50k+","Rẻ Vô Địch"
