"contents href","inset-y-0 src","w-full src","absolute","line-clamp-2","mr-0 src","font-medium","truncate","truncate 3"
"https://shopee.vn/Chai-X%E1%BB%8Bt-Kh%E1%BB%AD-M%C3%B9i-Gi%C3%A0y-D%C3%A9p-NaNo-B%E1%BA%A1c-X%E1%BB%8Bt-Kh%E1%BB%AD-M%C3%B9i-H%C3%B4i-Ch%C3%A2n-Nano-2024-BA1994-i.1181400240.23963831922?extraParams=%7B%22display_model_id%22%3A158517793140%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lrel5wbt226x0e_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-13%","Chai Xịt Khử Mùi Giày Dép NaNo Bạc,Xịt Khử Mùi Hôi Chân Nano 2024 -BA1994","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mfjl4hy7rsi3b3","13.900","Đã bán 100k+",""
"https://shopee.vn/-COMBO-5-Chai-x%E1%BB%8Bt-Kh%E1%BB%AD-M%C3%B9i-Gi%C3%A0y-Nano-B%E1%BA%A1c-Di%E1%BB%87t-Khu%E1%BA%A9n-Ng%C4%83n-Ng%E1%BB%ABa-H%C3%B4i-Ch%C3%A2n-L%C6%B0u-H%C6%B0%C6%A1ng-24h-i.1101127972.23287854039?extraParams=%7B%22display_model_id%22%3A88841911005%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lozd01bgt9az98_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-20%","[COMBO] 5 Chai xịt Khử Mùi Giày Nano Bạc Diệt Khuẩn Ngăn Ngừa Hôi Chân Lưu Hương 24h","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","23.900","Đã bán 40k+",""
"https://shopee.vn/Keo-D%C3%A1n-Gi%C3%A0y-Trong-Su%E1%BB%91t-Si%C3%AAu-D%C3%ADnh-%C4%90a-N%C4%83ng-Ch%C3%ADnh-H%C3%A3ng-MINSU-M2522-Chuy%C3%AAn-D%E1%BB%A5ng-Cho-Gi%C3%A0y-D%C3%A9p-Th%E1%BB%83-Thao-An-To%C3%A0n-Cho-Da-60ml-i.198790471.19827334865?extraParams=%7B%22display_model_id%22%3A108900848763%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m6t9zonpsjtzfb_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-42%","Keo Dán Giày Trong Suốt Siêu Dính Đa Năng Chính Hãng MINSU M2522 Chuyên Dụng Cho Giày Dép Thể Thao An Toàn Cho Da 60ml","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3kdam2qw17d","29.000","Đã bán 200k+",""
"https://shopee.vn/L%C3%B3t-gi%C3%A0y-ch%E1%BB%91ng-r%E1%BB%99ng-ch%E1%BB%91ng-r%E1%BB%9Bt-g%C3%B3t-ch%E1%BB%91ng-%C4%91au-nh%E1%BB%A9c-g%C3%B3t-silicon-b%C3%A1n-ch%C3%A2n-m%E1%BA%B7t-sau-c%C3%B3-keo-d%C3%A1n-SHOECARE-C36-i.210045719.22961016932?extraParams=%7B%22display_model_id%22%3A214753603584%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lo5jnoi9yikr1d_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","-50%","Lót giày chống rộng, chống rớt gót, chống đau nhức gót, silicon bán chân, mặt sau có keo dán SHOECARE C36","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","15.000","Đã bán 50k+",""
"https://shopee.vn/-1-%C4%90%C3%B4i-Mi%E1%BA%BFng-L%C3%B3t-Gi%C3%A0y-Qu%E1%BA%BF-L%C3%B3t-Gi%E1%BA%A7y-H%C6%B0%C6%A1ng-Qu%E1%BA%BF-%C4%90%E1%BB%99n-%C4%90%E1%BA%BF-Gi%C3%A0y-Kh%E1%BB%AD-M%C3%B9i-H%C3%B4i-%C4%90%E1%BB%A7-Size-i.364232197.8156091621?extraParams=%7B%22display_model_id%22%3A25924543765%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/09a491c0af91b317c104b321d0bfa3a7_tn.webp","","","[1 Đôi] Miếng Lót Giày Quế, Lót Giầy Hương Quế Độn Đế Giày Khử Mùi Hôi Đủ Size","","12.500","Đã bán 100k+",""
"https://shopee.vn/-1-%C4%90%C3%B4i-L%C3%B3t-Gi%E1%BA%A7y-Qu%E1%BA%BF-%C4%90%E1%BB%99n-%C4%90%E1%BA%BF-Gi%C3%A0y-Mi%E1%BA%BFng-L%C3%B3t-Gi%C3%A0y-H%C6%B0%C6%A1ng-Qu%E1%BA%BF-Kh%E1%BB%AD-M%C3%B9i-H%C3%B4i-Hi%E1%BB%87u-Qu%E1%BA%A3-Full-Size-i.170393318.2716403403?extraParams=%7B%22display_model_id%22%3A6461085388%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/b8e08f9262f7d41dce90a7a8db7b12e5_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","","[1 Đôi] Lót Giầy Quế Độn Đế Giày, Miếng Lót Giày Hương Quế Khử Mùi Hôi Hiệu Quả Full Size","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","12.500","Đã bán 200k+",""
"https://shopee.vn/L%C3%B3t-gi%C3%A0y-th%E1%BB%83-thao-4D-Mi%E1%BA%BFng-l%C3%B3t-gi%C3%A0y-cao-su-non-Mi%E1%BA%BFng-%C4%91%E1%BA%BF-l%C3%B3t-gi%C3%A0y-cao-c%E1%BA%A5p-%C3%AAm-%C4%91%C3%A0n-h%E1%BB%93i-tho%C3%A1ng-kh%C3%AD-ch%E1%BB%91ng-s%E1%BB%91c-i.449457169.23560211109?extraParams=%7B%22display_model_id%22%3A195434326950%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lnnqxcsumrjh32_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-30%","Lót giày thể thao 4D, Miếng lót giày cao su non, Miếng đế lót giày cao cấp êm đàn hồi thoáng khí chống sốc","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3l2w2maml9a","35.000","Đã bán 100k+","Giảm 10k₫"
"https://shopee.vn/Chai-x%E1%BB%8Bt-kh%E1%BB%AD-m%C3%B9i-gi%C3%A0y-d%C3%A9p-NaNo-b%E1%BA%A1c-h%C6%B0%C6%A1ng-chanh-v%C3%A0-h%C6%B0%C6%A1ng-%C4%91%C3%A0o-x%E1%BB%8Bt-kh%E1%BB%ADi-m%C3%B9i-h%C3%B4i-ch%C3%A2n-hi%E1%BB%87u-qu%E1%BA%A3-i.832892001.24166335591?extraParams=%7B%22display_model_id%22%3A176355957021%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lsdhjj520ujdee_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4bplg1ouf81","-19%","Chai xịt khử mùi giày dép NaNo bạc, hương chanh và hương đào xịt khửi mùi hôi chân hiệu quả","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","14.500","Đã bán 40k+",""
"https://shopee.vn/X%E1%BB%8Bt-Kh%E1%BB%AD-M%C3%B9i-Gi%C3%A0y-D%C3%A9p-NaNo-B%E1%BA%A1c-X%E1%BB%8Bt-Kh%E1%BB%AD-M%C3%B9i-H%C3%B4i-Ch%C3%A2n-Nano-i.365181681.22151248401?extraParams=%7B%22display_model_id%22%3A167230611372%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134201-7qukw-lkfbikn1i4dk26_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4bplg1ouf81","-10%","Xịt Khử Mùi Giày Dép NaNo Bạc, Xịt Khử Mùi Hôi Chân Nano","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","13.500","Đã bán 30k+",""
"https://shopee.vn/Combo-2-G%C3%B3i-Kh%C4%83n-%C6%AF%E1%BB%9Bt-Lau-Gi%C3%A0y-Sneaker-%C4%90%C3%A1nh-V%E1%BA%BFt-%E1%BB%90-B%E1%BA%A9n-Kh%C3%B4ng-X%C3%A0-Ph%C3%B2ng-Ch%C3%A0-Gi%E1%BA%B7t-Kh%C3%B4-Chai-C%E1%BB%8D-T%E1%BA%A9y-Tr%E1%BA%AFng-Gi%C3%A0y-%C4%90%E1%BA%A7u-Ch%E1%BB%95i-i.13350150.1059285943?extraParams=%7B%22display_model_id%22%3A188105849768%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m4bodnr8gw5rb3_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4bplg1ouf81","","Combo 2 Gói Khăn Ướt Lau Giày Sneaker - Đánh Vết Ố Bẩn - Không Xà Phòng - Chà Giặt Khô / Chai Cọ Tẩy Trắng Giày Đầu Chổi","","12.800","Đã bán 100k+",""
