"contents href","inset-y-0 src","w-full src","absolute","line-clamp-2","mr-0 src","font-medium","truncate","p-px src","km:text-[0","truncate 3"
"https://shopee.vn/B%C3%B4ng-T%E1%BA%A9y-Trang-M%C3%89ERY-Ch%C3%ADnh-H%C3%A3ng-B%C3%B4ng-T%E1%BA%A9y-Trang-Meery-205-Mi%E1%BA%BFng-100-Cotton-Pads-i.1039266580.23463900701?extraParams=%7B%22display_model_id%22%3A243354480658%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/sg-11134201-81ztp-miy3kfm7uc5f28_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-26%","Bông Tẩy Trang MÉERY Chính Hãng, Bông Tẩy Trang Meery 205 Miếng 100% Cotton Pads","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mfjl4hy7rsi3b3","29.500","Đã bán 300k+","","",""
"https://shopee.vn/B%C3%B4ng-t%E1%BA%A9y-trang-3-l%E1%BB%9Bp-Cotton-Pads-T%C3%BAi-222-mi%E1%BA%BFng--i.175889782.9469697381?extraParams=%7B%22display_model_id%22%3A49862496083%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mflfpdku0emk20_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-30%","Bông tẩy trang 3 lớp Cotton Pads [Túi 222 miếng]","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","17.542","Đã bán 200k+","","",""
"https://shopee.vn/Combo-12-H%E1%BB%99p-600-Chi%E1%BA%BFc-T%C4%83m-Ch%E1%BB%89-Nha-Khoa-2-%C4%90%E1%BA%A7u-S%E1%BB%A3i-Ch%E1%BB%89-M%E1%BA%A3nh-T%C4%83m-Ch%E1%BB%89-Nha-Khoa-V%E1%BB%87-Sinh-K%E1%BA%BD-R%C4%83ng-Ch%C3%A2n-N%C6%B0%E1%BB%9Bu-i.832892001.18658033063?extraParams=%7B%22display_model_id%22%3A198623917873%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mcu6bkr293jz44_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-33%","Combo 12 Hộp 600 Chiếc Tăm Chỉ Nha Khoa 2 Đầu Sợi Chỉ Mảnh, Tăm Chỉ Nha Khoa Vệ Sinh Kẽ Răng Chân Nướu","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","20.000","Đã bán 3000k+","https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m0h2cd40nde732_tn.webp","Đang bán chạy",""
"https://shopee.vn/H%E1%BB%99p-50-Chi%E1%BA%BFc-T%C4%83m-Ch%E1%BB%89-Nha-Khoa-Dental-Flossers-Ti%E1%BB%87n-D%E1%BB%A5ng-L%C3%A0m-S%E1%BA%A1ch-R%C4%83ng-i.1096087885.24800347505?extraParams=%7B%22display_model_id%22%3A280556256783%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lnsby4mi16recd_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4bplg1ouf81","-22%","Hộp 50 Chiếc Tăm Chỉ Nha Khoa Dental Flossers Tiện Dụng Làm Sạch Răng","","23.500","Đã bán 200k+","","",""
"https://shopee.vn/Keo-Mxbon-Keo-d%C3%A1n-m%C3%B3ng-gi%E1%BA%A3-Mxbon-ch%C3%ADnh-h%C3%A3ng-(7g)-i.156756262.2596059381?extraParams=%7B%22display_model_id%22%3A22896792821%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lx842y722axndc_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-21%","Keo Mxbon - Keo dán móng giả Mxbon chính hãng (7g)","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3l2w2maml9a","11.000","Đã bán 300k+","","",""
"https://shopee.vn/Combo-12-H%E1%BB%99p-600-Chi%E1%BA%BFc-T%C4%83m-ch%E1%BB%89-nha-khoa-h%E1%BB%99p-50-C%C3%A2y-Dental-Flossers-t%C4%83m-ch%E1%BB%89-v%E1%BB%87-sinh-r%C4%83ng-mi%E1%BB%87ng-TD8868-i.736015111.23325673276?extraParams=%7B%22display_model_id%22%3A225965418636%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lzwvknew0o8176_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4bplg1ouf81","-33%","Combo 12 Hộp 600 Chiếc Tăm chỉ nha khoa hộp 50 Cây Dental Flossers tăm chỉ vệ sinh răng miệng - TD8868","","7.999","Đã bán 1000k+","https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m0h2cd40nde732_tn.webp","Đang bán chạy",""
"https://shopee.vn/T%C4%83m-Ch%E1%BB%89-Nha-Khoa-COMBO-10-H%E1%BB%99p-T%C4%83m-Ch%E1%BB%89-Nha-Khoa-S%E1%BB%A3i-M%E1%BA%A3nh-2-%C4%90%E1%BA%A7u-V%E1%BB%87-Sinh-K%E1%BA%BD-R%C4%83ng-Ch%C3%A2n-N%C6%B0%E1%BB%9Bu-Hi%E1%BB%87u-Qu%E1%BA%A3-i.724644824.24116838023?extraParams=%7B%22display_model_id%22%3A280369218319%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mimrx0rl0cg0e5_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-34%","Tăm Chỉ Nha Khoa - COMBO 10 Hộp Tăm Chỉ Nha Khoa Sợi Mảnh 2 Đầu Vệ Sinh Kẽ Răng Chân Nướu Hiệu Quả","","16.500","Đã bán 200k+","https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m0h2cd40nde732_tn.webp","Đang bán chạy",""
"https://shopee.vn/%E2%9D%8C%C4%90%C6%AF%E1%BB%A2C-CH%E1%BB%8CN-M%C3%80U-H%C3%80NG-LO%E1%BA%A0I-1%E2%9D%8CB%C3%B4ng-n%E1%BB%9F-r%E1%BB%ADa-m%E1%BA%B7t-b%E1%BB%8Dt-bi%E1%BB%83n-Chivey-12-mi%E1%BA%BFng-M%C3%BAt-r%E1%BB%ADa-m%E1%BA%B7t-b%E1%BB%8Dt-bi%E1%BB%83n-12-thanh-88093-i.152465883.6733636965?extraParams=%7B%22display_model_id%22%3A305566654493%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/118b13a312befd29cc7c20b514d13a89_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","-41%","❌ĐƯỢC CHỌN MÀU - HÀNG LOẠI 1❌Bông nở rửa mặt bọt biển Chivey 12 miếng, Mút rửa mặt bọt biển 12 thanh 88093","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","14.279","Đã bán 300k+","https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m0h2cd40nde732_tn.webp","Đang bán chạy",""
"https://shopee.vn/Ch%E1%BB%89-nha-khoa-b%E1%BA%A3o-v%E1%BB%87-r%C4%83ng-mi%E1%BB%87ng-ch%E1%BB%91ng-s%C3%A2u-r%C4%83ng-t%C4%83m-ch%E1%BB%89-nha-khoa-h%E1%BB%99p-50-chi%E1%BA%BFc-Dbavio-i.36169950.19222855717?extraParams=%7B%22display_model_id%22%3A224331161756%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/d702a8678dbdbd4a0c0513feeb7d67b6_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4bplg1ouf81","-50%","Chỉ nha khoa bảo vệ răng miệng chống sâu răng, tăm chỉ nha khoa hộp 50 chiếc- Dbavio","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","9.000","Đã bán 300k+","","",""
"https://shopee.vn/Set-24-m%C3%B3ng-tay-gi%E1%BA%A3-ki%E1%BB%83u-ph%C3%A1p-xinh-x%E1%BA%AFn-k%C3%A8m-24-keo-th%E1%BA%A1ch-d%C3%A1n-m%C3%B3ng-ti%E1%BB%87n-d%E1%BB%A5ng-i.458110700.11415173041?extraParams=%7B%22display_model_id%22%3A46201580223%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/cn-11134207-7qukw-lfxwe3nhmbygc8_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4bplg1ouf81","-50%","Set 24 móng tay giả kiểu pháp xinh xắn kèm 24 keo thạch dán móng tiện dụng","","15.000","Đã bán 1000k+","","",""
