"contents href","inset-y-0 src","w-full src","absolute","line-clamp-2","font-medium","truncate","mr-0 src","truncate 2"
"https://shopee.vn/Chai-Nh%E1%BB%B1a-N%E1%BA%AFp-B%E1%BA%ADt-10ml-20ml-50ml-100ml-150ml-300ml-L%E1%BB%8D-Chai-Nh%E1%BB%B1a-PET-Chi%E1%BA%BFt-M%E1%BB%B9-Ph%E1%BA%A9m-%C4%90%E1%BB%B1ng-Gel-i.473397010.20687263401?extraParams=%7B%22display_model_id%22%3A330372261293%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mh5r47yr85c94f_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-35%","Chai Nhựa Nắp Bật 10ml/ 20ml/ 50ml/ 100ml/ 150ml/ 300ml Lọ Chai Nhựa PET Chiết Mỹ Phẩm Đựng Gel","2.800","Đã bán 60k+","",""
"https://shopee.vn/T%C3%BAi-%C4%91%E1%BB%B1ng-gi%C3%A0y-d%C3%A9p-%C4%91a-n%C4%83ng-m%C3%A0u-tr%E1%BA%AFng-t%C3%BAi-zip-b%E1%BB%8Dc-gi%C3%A0y-c%C3%B3-d%C3%A2y-r%C3%BAt-b%E1%BA%B1ng-v%E1%BA%A3i-b%E1%BA%A3o-v%E1%BB%87-gi%C3%A0y-d%C3%A9p-kh%E1%BB%8Fi-b%E1%BB%A5i-b%E1%BA%A9n-30x37cm-i.982496853.25564594125?extraParams=%7B%22display_model_id%22%3A286018711201%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lz9bd84iad29c0_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-10%","Túi đựng giày dép đa năng màu trắng, túi zip bọc giày có dây rút bằng vải bảo vệ giày dép khỏi bụi bẩn 30x37cm","18.000","Đã bán 100k+","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","1?.??0₫ 1.2 lúc 00:00 Th02 1"
"https://shopee.vn/T%C3%BAi-V%E1%BA%A3i-%C4%90%E1%BB%B1ng-Gi%C3%A0y-D%C3%A9p-D%C3%A2y-R%C3%BAt-Ch%E1%BB%91ng-B%E1%BA%A9n-Du-L%E1%BB%8Bch-Size-L%E1%BB%9Bn-V%E1%BB%9Bi-H%E1%BB%8Da-Ti%E1%BA%BFt-Thi%E1%BA%BFt-K%E1%BA%BF-%C4%90%E1%BA%B9p-M%E1%BA%AFt-i.1250607.8231755331?extraParams=%7B%22display_model_id%22%3A132315363512%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/1550fd01bbdbc88d0c7b5812f1f8a648_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-22%","Túi Vải Đựng Giày Dép Dây Rút Chống Bẩn Du Lịch Size Lớn Với Họa Tiết Thiết Kế Đẹp Mắt","7.000","Đã bán 200k+","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3l2w2maml9a",""
"https://shopee.vn/Chai-Nh%E1%BB%B1a-N%E1%BA%AFp-B%E1%BA%ADt-20ML-30ML-50ML-100ML-250ML-%C4%90%E1%BB%B1ng-Gel-R%E1%BB%ADa-Tay-Chai-Nh%E1%BB%B1a-Pet-Chi%E1%BA%BFt-M%E1%BB%B9-Ph%E1%BA%A9m-D%E1%BB%A5ng-C%E1%BB%A5-L%C3%A0m-%C4%90%E1%BA%B9p-i.30105196.7052018503?extraParams=%7B%22display_model_id%22%3A80505097444%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lz7xaplvpa5d85_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-28%","Chai Nhựa Nắp Bật 20ML/30ML/50ML/100ML/250ML Đựng Gel Rửa Tay - Chai Nhựa Pet - Chiết Mỹ Phẩm - Dụng Cụ Làm Đẹp","2.900","Đã bán 600k+","",""
"https://shopee.vn/PVN43674-Chai-x%E1%BB%8Bt-phun-s%C6%B0%C6%A1ng-l%E1%BB%8D-chi%E1%BA%BFt-m%E1%BB%B9-ph%E1%BA%A9m-dung-d%E1%BB%8Bch-s%C3%A1t-khu%E1%BA%A9n-trong-su%E1%BB%91t-dung-t%C3%ADch-30ml-50ml-100ml-i.182032860.16857758157?extraParams=%7B%22display_model_id%22%3A330149190861%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134201-7ras8-m1gclyy9xz9bb8_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4bplg1ouf81","","PVN43674 Chai xịt phun sương, lọ chiết mỹ phẩm,dung dịch sát khuẩn trong suốt dung tích 30ml - 50ml - 100ml","8.350","Đã bán 70k+","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6",""
"https://shopee.vn/Chai-nh%E1%BB%B1a-x%E1%BB%8Bt-phun-s%C6%B0%C6%A1ng-5ml-10ml-15ml-20ml-25ml-30ml-50ml-80ml-100ml-200ml-L%E1%BB%8D-pet-chi%E1%BA%BFt-m%E1%BB%B9-ph%E1%BA%A9m-c%E1%BB%93n-i.32697098.3207514352?extraParams=%7B%22display_model_id%22%3A10075566235%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-m062oovr55sfce_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-41%","Chai nhựa xịt phun sương 5ml/ 10ml/ 15ml/ 20ml/ 25ml/ 30ml/ 50ml/ 80ml/ 100ml/ 200ml - Lọ pet chiết mỹ phẩm, cồn","3.440","Đã bán 200k+","",""
"https://shopee.vn/Qu%E1%BA%A5n-c%C3%A1n-v%E1%BB%A3t-G%C3%82N-DIYi-ch%C3%ADnh-h%C3%A3ng-ch%E1%BB%91ng-tr%C6%A1n-tr%C6%B0%E1%BB%A3t-b%C3%A1m-tay-c%E1%BB%B1c-hi%E1%BB%87u-qu%E1%BA%A3-nhi%E1%BB%81u-m%C3%A0u-s%E1%BA%AFc-cho-ae-l%E1%BB%B1a-ch%E1%BB%8Dn-i.169287826.19193670348?extraParams=%7B%22display_model_id%22%3A235687916920%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mi4k4dpy86bm05_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-31%","Quấn cán vợt GÂN DIYi chính hãng  chống trơn trượt , bám tay cực hiệu quả , nhiều màu sắc cho ae lựa chọn","9.000","Đã bán 70k+","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mfjl4hy7rsi3b3","Rẻ Vô Địch"
"https://shopee.vn/T%C3%BAi-%C4%91%E1%BB%B1ng-gi%C3%A0y-d%C3%A9p-du-l%E1%BB%8Bch-v%E1%BA%A3i-c%C3%B3-d%C3%A2y-r%C3%BAt-ch%E1%BB%91ng-b%E1%BA%A9n-Size-L%E1%BB%9Bn-P0407-i.175889782.21948393567?extraParams=%7B%22display_model_id%22%3A107877996248%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134211-7ras8-m56tr9ary59y38_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4bplg1ouf81","-10%","Túi đựng giày dép du lịch vải có dây rút chống bẩn Size Lớn P0407","9.000","Đã bán 200k+","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6",""
"https://shopee.vn/D%C3%A2y-nh%E1%BA%A3y-th%E1%BB%83-d%E1%BB%A5c-t%E1%BB%91c-%C4%91%E1%BB%99-gi%E1%BA%A3m-c%C3%A2n-%C4%91%E1%BB%91t-m%E1%BB%A1-b%E1%BB%A5ng-l%C3%B5i-th%C3%A9p-c%C3%B3-t%E1%BA%A1-2.9m-t%E1%BA%ADp-th%E1%BB%83-l%E1%BB%B1c-gym-t%E1%BA%A1i-nh%C3%A0-fashion86-i.48371527.811553637?extraParams=%7B%22display_model_id%22%3A113489943069%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/f9ea6204a4338d8370f618f72e9ffd6e_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4deg9dzwg48","-44%","Dây nhảy thể dục tốc độ giảm cân đốt mỡ bụng lõi thép có tạ 2.9m tập thể lực gym tại nhà fashion86","8.459","Đã bán 400k+","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","Rẻ Vô Địch"
"https://shopee.vn/T%C3%BAi-%C4%91%E1%BB%B1ng-gi%C3%A0y-%C4%91a-n%C4%83ng-v%E1%BA%A3i-kh%C3%B4ng-d%E1%BB%87t-mi%E1%BB%87ng-c%C3%B3-d%C3%A2y-r%C3%BAt-ti%E1%BB%87n-l%E1%BB%A3i-F2-01-i.39923306.18460191372?extraParams=%7B%22display_model_id%22%3A275568964085%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/sg-11134201-22110-48mort6uqkjv79_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-54%","Túi đựng giày đa năng vải không dệt miệng có dây rút tiện lợi F2-01","6.900","Đã bán 100k+","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3l2w2maml9a","Rẻ Vô Địch"
