"contents href","inset-y-0 src","w-full src","line-clamp-2","mr-0 src","truncate","font-medium","truncate 2","absolute"
"https://shopee.vn/T%E1%BA%A5t-nam-n%E1%BB%AF-c%E1%BB%95-cao-h%E1%BB%8Da-ti%E1%BA%BFt-basic-v%E1%BB%9B-n%E1%BB%AF-c%E1%BB%95-cao-nhi%E1%BB%81u-m%C3%A0u-%C4%91%C6%A1n-gi%E1%BA%A3n-i.157404536.23142069441?extraParams=%7B%22display_model_id%22%3A175884663108%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lgn1nn3x5tdf57_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","Tất nam nữ cổ cao họa tiết basic vớ nữ cổ cao nhiều màu đơn giản","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","Rẻ Vô Địch","7.000","Đã bán 300k+",""
"https://shopee.vn/Set-5-%C4%90%C3%B4i-T%E1%BA%A5t-V%E1%BB%9B-Nam-N%E1%BB%AF-C%E1%BB%95-Cao-C%E1%BB%95-trung-l%E1%BB%ADng-ng%E1%BA%AFn-ch%E1%BA%A5t-li%E1%BB%87u-cotton-i.450935124.9483583305?extraParams=%7B%22display_model_id%22%3A216192174655%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mhtu5el75ou9ec_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","Set 5 Đôi Tất Vớ Nam Nữ Cổ Cao Cổ trung lửng ngắn chất liệu cotton","","","19.900","Đã bán 100k+","-5%"
"https://shopee.vn/T%E1%BA%A5t-N%E1%BB%AF-C%E1%BB%95-cao-%C4%90%E1%BA%B9p-D%E1%BB%87t-Kim-Tr%E1%BA%AFng-Tinh-Phong-Ca%CC%81ch-Vintage-Ha%CC%80n-Qu%C3%B4%CC%81c-Ch%C3%A2%CC%81t-Li%C3%AA%CC%A3u-Cotton-%C4%90%C6%B0%E1%BB%A3c-Ch%E1%BB%8Dn-M%C3%A0u-M%E1%BA%ABu-T16-i.275954116.10868877451?extraParams=%7B%22display_model_id%22%3A270570447426%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134201-7r98o-lyynrban3sm973_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","Tất Nữ Cổ cao Đẹp Dệt Kim Trắng Tinh Phong Cách Vintage Hàn Quốc Chất Liệu Cotton Được Chọn Màu Mẫu T16","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","","7.990","Đã bán 200k+","-20%"
"https://shopee.vn/Set-5-10-%C4%90%C3%B4i-T%E1%BA%A5t-V%E1%BB%9B-Nam-N%E1%BB%AF-D%E1%BB%87t-Kim-C%E1%BB%95-Cao-C%E1%BB%95-Trung-C%E1%BB%95-Ng%E1%BA%AFn-Tr%C6%A1n-%C3%8Am-%C3%81i-D%C3%A0y-D%E1%BA%B7n-Tho%C3%A1ng-Kh%C3%AD-i.450935124.21112628199?extraParams=%7B%22display_model_id%22%3A290781958538%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mczrvociyral1f_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","Set 5 10 Đôi Tất Vớ Nam Nữ Dệt Kim Cổ Cao Cổ Trung Cổ Ngắn Trơn Êm Ái Dày Dặn Thoáng Khí","","Rẻ Vô Địch","38.023","Đã bán 200k+","-37%"
"https://shopee.vn/-Mua-%C4%91%E1%BB%83-nh%E1%BA%ADn-qu%C3%A0-len-cu%E1%BB%99n-MILK-B%C3%92-50-gram-b%E1%BA%A3ng-92-M%C3%A0u-i.33594225.18441207118?extraParams=%7B%22display_model_id%22%3A380257483504%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/da9cc056b771ef45859794b6abf644cf_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","[Mua để nhận quà] len cuộn MILK BÒ 50 gram bảng 92 Màu","","","8.000","Đã bán 500k+",""
"https://shopee.vn/T%E1%BA%A5t-nam-n%E1%BB%AF-bassic-d%E1%BB%85-ph%E1%BB%91i-%C4%91%E1%BB%93-t%E1%BA%A5t-v%E1%BB%9B-cotton-co-d%C3%A3n-b%E1%BB%91n-chi%E1%BB%81u-th%E1%BA%A5m-h%C3%BAt-m%C3%B4-h%C3%B4i-ch%C3%A2n-Aguo-shop-i.1069018683.25121934025?extraParams=%7B%22display_model_id%22%3A69577198219%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ltkjbm5n4idm18_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","Tất nam nữ bassic dễ phối đồ , tất vớ cotton co dãn bốn chiều thấm hút mô hôi chân - Aguo shop","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3l2w2maml9a","","13.900","Đã bán 300k+","-44%"
"https://shopee.vn/S%C3%A9t-5-%C4%90%C3%B4i-T%E1%BA%A5t-C%E1%BB%95-Cao-V%E1%BB%9B-V%E1%BA%A3i-Cotton-Tr%C6%A1n-M%E1%BB%81m-3-M%C3%A0u-C%E1%BB%95-Bo-Chun-Si%C3%AAu-Co-Gi%C3%A3n-tt45-u108--i.125581229.25102037639?extraParams=%7B%22display_model_id%22%3A310373904259%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lsowptcj0fd084_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","Sét 5 Đôi Tất Cổ Cao, Vớ Vải Cotton Trơn Mềm , 3 Màu Cổ Bo Chun Siêu Co Giãn tt45 { u108 }","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","","9.900","Đã bán 100k+","-38%"
"https://shopee.vn/T%E1%BA%A5t-n%E1%BB%AF-c%E1%BB%95-cao-Ladi-OFFICIAL-STORE-m%C3%A3-T16-ch%E1%BA%A5t-cotton-m%C3%A0u-Tr%E1%BA%AFng-ph%E1%BB%91i-h%E1%BB%8Da-ti%E1%BA%BFt-Vintage-i.1262335629.27150636807?extraParams=%7B%22display_model_id%22%3A305998507495%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-820l4-milf6f18nrpf8d_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","Tất nữ cổ cao Ladi OFFICIAL STORE mã T16 chất cotton màu Trắng phối họa tiết Vintage","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3kdam2qw17d","Rẻ Vô Địch","8.990","Đã bán 200k+","-40%"
"https://shopee.vn/T%E1%BA%A5t-Cao-C%E1%BB%95-N%E1%BB%AF-T%E1%BA%A5t-C%E1%BB%95-Cao-Phong-C%C3%A1ch-Vintage-H%C3%A0n-Qu%E1%BB%91c-%E2%9D%A4%EF%B8%8F-T%E1%BA%A5t-N%E1%BB%AF-%C4%90%E1%BA%B9p-cotton-%C4%91%C6%B0%E1%BB%A3c-ch%E1%BB%8Dn-m%C3%A0u-m%E1%BA%ABu-T08-i.275954116.11568844903?extraParams=%7B%22display_model_id%22%3A243579878146%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134201-7r98o-lyynqkznllepc2_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","Tất Cao Cổ Nữ - Tất Cổ Cao Phong Cách Vintage Hàn Quốc ❤️ Tất Nữ Đẹp cotton được chọn màu mẫu T08","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","","6.999","Đã bán 600k+","-22%"
"https://shopee.vn/T%E1%BA%A5t-V%E1%BB%9B-C%E1%BB%95-Cao-Nam-N%E1%BB%AF-h%C3%ACnh-ch%E1%BB%AF-Human-Made-V%E1%BB%9B-Cao-c%E1%BB%95-n%E1%BB%AF-ch%E1%BA%A5t-v%E1%BA%A3i-m%E1%BB%81m-d%C3%A0y-tho%C3%A1ng-kh%E1%BB%89-Cao-C%E1%BA%A5p-i.450935124.23352945414?extraParams=%7B%22display_model_id%22%3A243707473385%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ll1l9cs2w1jx9b_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4bplg1ouf81","Tất Vớ Cổ Cao Nam Nữ hình chữ Human Made, Vớ Cao cổ nữ chất vải mềm dày thoáng khỉ Cao Cấp","","Rẻ Vô Địch","20.699","Đã bán 100k+","-31%"
