"contents href","inset-y-0 src","w-full src","absolute","line-clamp-2","mr-0 src","font-medium","truncate","truncate 2","truncate 3"
"https://shopee.vn/M%C3%B3c-kho%C3%A1-m%C3%B3c-c%C3%A0i-balo-t%C3%BAi-x%C3%A1ch-c%C3%A1-m%E1%BA%ADp-c%E1%BA%AFn-c%C3%A1p-co-r%C3%BAt-%C4%91%C3%A1ng-y%C3%AAu-i.19717279.11546801636?extraParams=%7B%22display_model_id%22%3A168168179214%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134211-7r98o-lug8ch0pcyedcd_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-6%","Móc khoá, móc cài balo túi xách cá mập cắn cáp co rút đáng yêu","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","18.900","Đã bán 40k+","",""
"https://shopee.vn/Kh%C3%B3a-K%C3%A9o-Zipper-3-K%C3%ADch-C%E1%BB%A1-%C4%90a-N%C4%83ng-S%E1%BB%ADa-Ch%E1%BB%AFa-Nhanh-D%C3%A2y-K%C3%A9o-Zip-C%E1%BB%A7a-Ba-L%C3%B4-Qu%E1%BA%A7n-%C3%81o-T%C3%BAi-X%C3%A1ch-i.63082962.27956434236?extraParams=%7B%22display_model_id%22%3A69495922393%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m2l6snpdacvu0d_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","","Khóa Kéo Zipper 3 Kích Cỡ Đa Năng, Sửa Chữa Nhanh Dây Kéo Zip Của Ba Lô, Quần Áo, Túi Xách","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","6.825","Đã bán 80k+","",""
"https://shopee.vn/Hello-Kitty-B%E1%BB%99-M%C3%A8o-Ch%E1%BB%AF-M%E1%BA%B7t-D%C3%A2y-Chuy%E1%BB%81n-M%C3%B3c-Kh%C3%B3a-%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Di-%C4%90%E1%BB%99ng-Kh%C3%B3a-H%E1%BB%8Dc-Sinh-Schoolbag-M%E1%BA%B7t-D%C3%A2y-Chuy%E1%BB%81n-i.1430316828.40514102704?extraParams=%7B%22display_model_id%22%3A310375317346%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/sg-11134201-7rdxt-mdmww08iki646b_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-41%","Hello Kitty Bộ Mèo Chữ Mặt Dây Chuyền Móc Khóa Điện Thoại Di Động Khóa Học Sinh Schoolbag Mặt Dây Chuyền","","5.899","Đã bán 30k+","",""
"https://shopee.vn/Combo-V%E1%BB%8F-b%E1%BB%8Dc-c%C4%83n-c%C6%B0%E1%BB%9Bc-c%C3%B4ng-d%C3%A2n-CCCD-ATM-b%E1%BA%A3o-v%E1%BB%87-th%E1%BA%BB-ch%E1%BB%91ng-x%C6%B0%E1%BB%9Bc-...-i.1076210029.22362351062?extraParams=%7B%22display_model_id%22%3A251042610782%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-ma73lpabyz6wce_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4bplg1ouf81","","Combo Vỏ bọc căn cước công dân CCCD - ATM  bảo vệ thẻ, chống xước,...","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","12.000","Đã bán 100k+","5% Giảm",""
"https://shopee.vn/M%C3%B3c-kho%C3%A1-g%E1%BA%A5u-b%C3%B4ng-cute-treo-balo-c%E1%BA%B7p-s%C3%A1ch-ml01-i.255447711.28319432367?extraParams=%7B%22display_model_id%22%3A168665899721%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m3aebdqnwrss1b_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4bplg1ouf81","","Móc khoá gấu bông cute treo balo cặp sách ml01","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","8.000","Đã bán 30k+","","Rẻ Vô Địch"
"https://shopee.vn/M%C3%B3c-Kh%C3%B3a-K%C3%A9o-Thay-Th%E1%BA%BF-%C4%90a-N%C4%83ng-B%E1%BA%B1ng-Kim-Lo%E1%BA%A1i-C%C3%B3-Th%E1%BB%83-Th%C3%A1o-R%E1%BB%9Di-Ti%E1%BB%87n-D%E1%BB%A5ng-i.62505063.26662673543?extraParams=%7B%22display_model_id%22%3A290746444732%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/sg-11134201-7rdwl-m19fn67gvdiy42_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","-2%","Móc Khóa Kéo Thay Thế Đa Năng Bằng Kim Loại Có Thể Tháo Rời Tiện Dụng","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","5.900","Đã bán 80k+","","Rẻ Vô Địch"
"https://shopee.vn/T%C3%BAi-X%C3%A1ch-nh%E1%BB%B1a-PVC-trong-su%E1%BB%91t-%C4%91a-n%C4%83ng-(Nh%E1%BB%A5a-PVC)-i.1000570059.25404412819?extraParams=%7B%22display_model_id%22%3A255114853730%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lpt7ltli1nav98_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","","Túi Xách nhựa PVC trong suốt đa năng (Nhụa PVC)","","7.999","Đã bán 50k+","","Rẻ Vô Địch"
"https://shopee.vn/M%C3%B3c-K%C3%A9o-Thay-Th%E1%BA%BF-Cho-Kh%C3%B3a-Zipper-B%E1%BB%8B-H%C6%B0-M%C3%B3c-K%C3%A9o-D%C3%B9ng-Cho-Balo-T%C3%BAi-X%C3%A1ch-Vali-%C3%81o-Kho%C3%A1c-Qu%E1%BA%A7n-i.63082962.29419198087?extraParams=%7B%22display_model_id%22%3A223528758393%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m36cdcdddcf5bd_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","","Móc Kéo Thay Thế Cho Khóa Zipper Bị Hư Móc Kéo Dùng Cho Balo, Túi Xách, Vali, Áo Khoác, Quần","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","7.350","Đã bán 30k+","","Rẻ Vô Địch"
"https://shopee.vn/N%C3%BAt-H%C3%ADt-T%C3%BAi-i.44775733.5509568697?extraParams=%7B%22display_model_id%22%3A163246043061%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/db263d99081a2c8dde4685d9e326d903_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs4e4msq1vr2a","","Nút Hít Túi","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","9.000","Đã bán 10k+","",""
"https://shopee.vn/V%C3%AD-n%E1%BB%AF-%C4%91%E1%BA%B9p-gi%C3%A1-r%E1%BA%BB-ng%E1%BA%AFn-c%E1%BA%A7m-tay-mini-nh%E1%BB%8F-g%E1%BB%8Dn-d%E1%BB%85-th%C6%B0%C6%A1ng-cute-nhi%E1%BB%81u-ng%C4%83n-b%E1%BB%8F-t%C3%BAi-th%E1%BB%9Di-trang-h%C3%A0n-qu%E1%BB%91c-VN55-i.55849425.13733859261?extraParams=%7B%22display_model_id%22%3A131520164917%2C%22model_selection_logic%22%3A3%7D","https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m35xae50sqmm5d_tn.webp","https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mjs43i801g5c06","-51%","Ví nữ đẹp giá rẻ ngắn cầm tay mini nhỏ gọn dễ thương cute nhiều ngăn bỏ túi thời trang hàn quốc VN55","https://down-vn.img.susercontent.com/file/vn-11134258-7r98o-lyb3m8mjjmape6","16.998","Đã bán 100k+","","Rẻ Vô Địch"
